n,o,l
tarragona,24.743496,0.0
almeria,10.051789,6.0
guadalajara,0.1332595,0.0
lleida,62.774986,27.0
araba/alava,45.78419,19.0
bizkaia,174.58165,147.0
granada,38.065166,47.0
burgos,20.765423,44.0
alicante,53.135933,31.0
valladolid,98.98389,138.0
cuenca,0.13320886,0.0
cordoba,30.192205,17.0
jaen,24.922523,39.0
malaga,49.258743,60.0
valencia,130.27199,159.0
toledo,0.1332595,0.0
avila,30.958303,38.0
barcelona,946.27765,776.0
zamora,9.121414,2.0
ciudad_real,0.13329375,0.0
palencia,16.055817,13.0
castellon,24.21713,57.0
leon,46.18053,25.0
girona,46.807823,0.0
caceres,41.624672,56.0
gipuzkoa,58.46901,81.0
cadiz,0.13780743,0.0
badajoz,18.83595,28.0
albacete,14.602035,38.0
sevilla,51.907063,87.0
salamanca,17.674555,29.0
soria,64.6251,64.0
huelva,7.2764587,10.0
segovia,91.89145,88.0
