n,o,l
oise,57.33093,9.0
loire_atlantique,1.3384717,0.0
calvados,4.93786,1.0
hauts_de_seine,126.319214,13.0
tarn_et_garonne,0.5078318,0.0
val_de_marne,75.41523,9.0
alpes_de_haute_provence,1.7351472,0.0
vosges,22.449854,1.0
haute_saone,5.6237946,0.0
vaucluse,10.595239,0.0
charente_maritime,4.0369177,0.0
ardeche,1.8911195,0.0
savoie,0.7005928,0.0
loir_et_cher,0.2097207,0.0
haute_marne,0.74387455,0.0
alpes_maritimes,16.167757,0.0
drome,2.1663291,1.0
meuse,0.8653714,0.0
aude,7.6173368,4.0
herault,48.97074,3.0
manche,3.4868338,0.0
yvelines,46.451813,2.0
seine_et_marne,58.09667,22.0
ain,4.681744,7.0
indre_et_loire,4.2820415,1.0
correze,0.12834677,0.0
bouches_du_rhone,147.90625,23.0
loiret,18.895063,0.0
moselle,30.474863,0.0
nord,8.58411,3.0
vienne,0.12694368,0.0
eure_et_loir,21.767935,0.0
puy_de_dome,7.0476604,7.0
rhone,16.861048,1.0
ardennes,1.7985907,2.0
charente,0.35560304,0.0
aisne,19.234816,1.0
var,6.8493543,1.0
lot_et_garonne,0.18779345,0.0
loire,0.15075615,0.0
pyrenees_orientales,0.12862815,0.0
nievre,3.290201,3.0
aube,12.862403,6.0
maine_et_loire,0.18117926,0.0
haute_savoie,22.74724,2.0
saone_et_loire,7.186038,0.0
doubs,6.1950626,0.0
pyrenees_atlantiques,5.042229,1.0
pas_de_calais,10.057157,7.0
indre,12.430248,10.0
cote_d'or,3.1715677,0.0
seine_maritime,13.754389,1.0
marne,16.026247,0.0
yonne,0.2354572,2.0
haute_vienne,1.2474818,2.0
seine_saint_denis,106.537155,24.0
bas_rhin,25.235056,0.0
lot,0.18567929,0.0
landes,60.977825,0.0
haut_rhin,0.30026263,5.0
orne,0.4471295,0.0
isere,3.2814407,0.0
territoire_de_belfort,2.4733899,0.0
haute_garonne,11.346941,1.0
dordogne,0.19534986,0.0
paris,160.80139,28.0
gard,10.986301,1.0
mayenne,0.13140275,0.0
val_d'oise,70.17168,13.0
gironde,20.06854,0.0
cher,11.35573,1.0
eure,10.4607725,2.0
jura,1.122613,0.0
tarn,0.6801144,0.0
haute_loire,0.0,1.0
somme,12.913851,5.0
gers,2.6873257,0.0
cantal,0.09087104,0.0
meurthe_et_moselle,9.074966,1.0
hautes_pyrenees,4.199376,1.0
essonne,68.586754,14.0
