n,o,l
tarragona,24.184052,49.0
almeria,7.9961853,5.0
guadalajara,43.574043,31.0
lleida,41.436516,24.0
araba/alava,30.807507,53.0
bizkaia,165.59752,110.0
granada,35.626537,64.0
burgos,50.02241,17.0
alicante,65.395905,29.0
valladolid,114.23768,26.0
cuenca,71.46947,30.0
cordoba,12.772115,9.0
jaen,23.575056,8.0
malaga,49.741367,6.0
valencia,113.721725,58.0
toledo,176.54073,30.0
avila,26.96156,41.0
barcelona,960.0561,893.0
zamora,26.531296,13.0
ciudad_real,138.67525,58.0
palencia,9.59633,13.0
castellon,37.482853,2.0
leon,103.54908,24.0
girona,0.71986645,88.0
caceres,58.937725,23.0
gipuzkoa,45.002716,19.0
cadiz,43.840786,15.0
badajoz,21.480167,3.0
albacete,22.756886,22.0
sevilla,37.52651,26.0
salamanca,42.749386,18.0
soria,55.92229,6.0
huelva,9.150301,1.0
segovia,62.939606,78.0
