n,o,l
tarragona,28.330368,23.0
almeria,7.2393446,5.0
guadalajara,0.24478503,51.0
lleida,59.148796,29.0
araba/alava,56.92072,98.0
bizkaia,190.82578,197.0
granada,39.919052,54.0
burgos,27.867008,32.0
alicante,66.84395,48.0
valladolid,108.742584,55.0
cuenca,0.24477112,70.0
cordoba,23.512943,19.0
jaen,30.470102,22.0
malaga,37.093746,170.0
valencia,135.11005,100.0
toledo,0.24478504,99.0
avila,31.747923,42.0
barcelona,903.32666,705.0
zamora,16.714766,5.0
ciudad_real,0.24478503,178.0
palencia,25.081772,56.0
castellon,35.698708,23.0
leon,47.722424,67.0
girona,28.270313,182.0
caceres,69.379166,38.0
gipuzkoa,58.20558,57.0
cadiz,0.2536705,9.0
badajoz,15.39696,17.0
albacete,31.616055,98.0
sevilla,51.507393,43.0
salamanca,19.121908,49.0
soria,68.92859,33.0
huelva,5.842971,7.0
segovia,88.87986,35.0
