n,o,l
tarragona,16.84974,13.0
almeria,7.4547048,24.0
guadalajara,41.064476,41.0
lleida,33.624287,27.0
araba/alava,27.048422,0.0
bizkaia,129.24731,0.0
granada,36.46943,57.0
burgos,49.03028,153.0
alicante,43.765263,80.0
valladolid,74.46883,70.0
cuenca,64.85343,45.0
cordoba,11.507218,27.0
jaen,20.440737,14.0
malaga,40.75982,76.0
valencia,108.698685,95.0
toledo,136.18526,65.0
avila,24.714502,21.0
barcelona,830.10614,349.0
zamora,20.752346,16.0
ciudad_real,119.79003,55.0
palencia,13.287084,19.0
castellon,31.874327,67.0
leon,94.424675,59.0
girona,0.23603173,40.0
caceres,56.794468,22.0
gipuzkoa,31.713793,0.0
cadiz,17.203156,28.0
badajoz,21.798172,4.0
albacete,33.7151,70.0
sevilla,31.987186,20.0
salamanca,58.492455,49.0
soria,31.73375,28.0
huelva,9.636803,12.0
segovia,54.583782,46.0
