n,o,l
oise,49.758976,0.0
meurthe_et_moselle,5.224192,0.0
alpes_maritimes,10.0932455,1.0
marne,12.841666,2.0
loire,0.67744887,0.0
ain,4.009083,68.0
pyrenees_atlantiques,3.4237514,0.0
var,13.10147,0.0
aude,5.646021,0.0
ardennes,1.446474,0.0
loir_et_cher,0.5261239,0.0
somme,12.8198805,0.0
hautes_pyrenees,4.0868607,0.0
haute_garonne,7.65805,2.0
bouches_du_rhone,18.074272,0.0
bas_rhin,96.98817,9.0
cantal,0.7799256,2.0
landes,1.0317185,0.0
rhone,4.4136763,0.0
calvados,6.9179645,2.0
cote_d'or,3.3724508,0.0
eure_et_loir,17.442732,1.0
meuse,1.870516,0.0
indre_et_loire,1.9996353,0.0
aube,10.258492,0.0
indre,8.81816,0.0
val_de_marne,58.869255,6.0
haute_marne,0.8590822,0.0
herault,36.680832,5.0
gard,9.928132,1.0
paris,123.2884,35.0
haute_vienne,0.904492,0.0
ardeche,0.8765851,0.0
vaucluse,6.234465,0.0
drome,2.394934,0.0
pas_de_calais,10.055734,0.0
loiret,14.502553,0.0
yvelines,30.450176,3.0
jura,1.7319994,0.0
tarn_et_garonne,0.91258895,0.0
manche,1.9273732,0.0
territoire_de_belfort,3.0830503,0.0
eure,10.774194,0.0
val_d'oise,47.046696,25.0
pyrenees_orientales,0.4577296,0.0
hauts_de_seine,93.18246,4.0
moselle,23.715136,1.0
isere,57.409534,17.0
essonne,1.1043962,0.0
nievre,3.2885473,0.0
vosges,17.800035,0.0
lot,0.66203797,0.0
haute_saone,12.069033,1.0
seine_maritime,3.7374067,0.0
dordogne,0.5680554,0.0
alpes_de_haute_provence,1.192389,0.0
puy_de_dome,7.7265396,2.0
haut_rhin,44.403313,0.0
charente_maritime,2.4822843,1.0
vienne,0.6625141,0.0
nord,11.637386,0.0
saone_et_loire,5.8551173,6.0
haute_loire,0.33703205,0.0
charente,0.38103068,0.0
loire_atlantique,1.2339138,0.0
aisne,15.815491,0.0
tarn,0.589941,0.0
gironde,14.639205,0.0
cher,7.604042,0.0
mayenne,0.56995636,0.0
doubs,4.105856,0.0
seine_et_marne,48.38863,5.0
correze,0.6129261,0.0
gers,2.2441654,0.0
orne,0.5807557,0.0
maine_et_loire,0.5928521,0.0
seine_saint_denis,83.04054,7.0
yonne,0.57184505,0.0
lot_et_garonne,0.0,0.0
haute_savoie,16.638948,0.0
savoie,0.27032706,0.0
