n,o,l
oise,37.71693,0.0
loire_atlantique,0.0,0.0
calvados,1.327038,0.0
hauts_de_seine,69.35843,4.0
tarn_et_garonne,2.7054513,0.0
val_de_marne,61.42805,6.0
alpes_de_haute_provence,0.056014933,0.0
vosges,10.676198,0.0
haute_saone,4.3107057,0.0
vaucluse,7.535732,0.0
charente_maritime,1.3099511,1.0
ardeche,0.74829537,0.0
savoie,0.23142807,0.0
loir_et_cher,0.058888637,0.0
haute_marne,0.032334514,0.0
alpes_maritimes,8.8708515,1.0
drome,0.74085075,0.0
meuse,0.7309496,0.0
aude,5.32928,0.0
herault,17.253006,5.0
manche,2.343595,0.0
yvelines,30.861784,3.0
seine_et_marne,64.69461,5.0
ain,5.507794,68.0
indre_et_loire,0.8343868,0.0
correze,0.07382634,0.0
bouches_du_rhone,95.33811,9.0
loiret,10.733414,0.0
moselle,26.89911,1.0
nord,13.894369,0.0
vienne,0.026423618,0.0
eure_et_loir,41.305553,1.0
puy_de_dome,4.47753,2.0
rhone,10.279154,2.0
ardennes,2.1234663,0.0
charente,0.15605655,0.0
aisne,14.63028,0.0
var,11.364876,0.0
lot_et_garonne,0.031369776,0.0
loire,0.05152411,0.0
pyrenees_orientales,0.16765338,0.0
nievre,9.0610895,0.0
aube,13.488148,0.0
maine_et_loire,0.0,0.0
haute_savoie,13.943669,0.0
saone_et_loire,10.393564,6.0
doubs,5.535066,0.0
pyrenees_atlantiques,1.2847841,0.0
pas_de_calais,16.56227,0.0
indre,8.773927,0.0
cote_d'or,0.5296122,0.0
seine_maritime,14.740034,1.0
marne,8.151485,2.0
yonne,0.1539923,0.0
haute_vienne,0.39764613,0.0
seine_saint_denis,68.830246,7.0
bas_rhin,7.86086,0.0
lot,0.021606058,0.0
landes,0.29814142,0.0
haut_rhin,21.226469,0.0
orne,0.008947164,0.0
isere,2.1511855,0.0
territoire_de_belfort,2.1558683,0.0
haute_garonne,5.431106,2.0
dordogne,0.036023617,0.0
paris,103.51853,35.0
gard,8.738508,1.0
mayenne,0.0,0.0
val_d'oise,29.947546,25.0
gironde,7.2446227,0.0
cher,8.395929,0.0
eure,21.922987,0.0
jura,9.002919,0.0
tarn,0.1507815,0.0
haute_loire,0.053802833,0.0
somme,11.296852,0.0
gers,1.3806698,0.0
cantal,0.0,2.0
meurthe_et_moselle,5.4793077,0.0
hautes_pyrenees,2.2052448,0.0
essonne,76.50519,17.0
