n,o,l
E08000016,23.300707,9.0
E09000001,2.295171,0.0
E06000051,13.144919,15.0
E06000039,8.903042,8.0
E09000005,65.619965,34.0
E09000020,21.111656,9.0
E08000001,21.19459,23.0
E06000004,14.819892,8.0
E08000012,53.856632,44.0
E09000010,28.841383,18.0
E09000002,21.483746,10.0
E08000022,22.85869,10.0
E08000031,24.682438,26.0
E10000013,35.77729,57.0
E08000032,25.449873,16.0
E08000035,34.158245,51.0
E08000003,36.621376,15.0
E06000035,26.049051,16.0
E06000042,16.68139,16.0
E06000008,11.198918,11.0
E06000059,12.790264,4.0
E06000015,27.555574,4.0
E06000011,11.219023,21.0
E08000024,39.091175,24.0
E06000003,10.840124,6.0
E06000024,7.511809,3.0
E06000049,26.662855,33.0
E08000037,27.487062,14.0
E10000015,98.90356,57.0
E06000016,28.724276,10.0
E10000016,98.30456,166.0
E08000017,18.976976,21.0
E06000018,17.359861,15.0
E08000002,13.820517,15.0
E06000050,27.423014,19.0
E06000045,19.299494,14.0
E10000027,13.80137,31.0
E09000017,25.117077,14.0
E06000001,3.765244,38.0
E10000031,43.148598,5.0
E10000006,72.72033,37.0
E10000030,91.37138,71.0
E08000019,80.00764,47.0
E06000055,13.563292,18.0
E10000020,31.289194,47.0
E10000003,22.866247,30.0
E06000044,5.316617,6.0
E09000004,23.292583,21.0
E10000019,28.205309,35.0
E06000020,8.159981,6.0
E09000029,31.179846,19.0
E06000012,3.2257562,1.0
E09000015,36.178345,16.0
E06000030,8.687242,16.0
E10000018,34.878822,46.0
E10000012,106.7739,53.0
E09000008,66.41193,31.0
E06000054,9.962257,14.0
E08000015,34.136505,26.0
E08000008,17.837698,16.0
E06000006,12.875567,10.0
E06000052,20.142254,24.0
E09000023,46.385136,15.0
E08000009,24.790625,18.0
E10000025,55.49492,48.0
E06000007,21.731401,26.0
E08000036,18.506199,11.0
E09000021,15.325762,9.0
E09000009,17.05723,19.0
E08000004,41.22563,15.0
E08000005,22.45962,26.0
E08000027,15.895254,12.0
E09000016,30.064432,36.0
E08000014,27.180717,19.0
E10000024,30.229963,18.0
E06000022,45.13738,35.0
E08000023,4.1024995,4.0
E09000018,12.359859,30.0
E06000037,32.181355,11.0
E08000007,9.0758,17.0
E08000010,27.513361,20.0
E06000040,22.765484,33.0
E10000011,8.310898,14.0
E06000036,21.18725,14.0
E10000014,6.837596,5.0
E06000046,95.20267,76.0
E10000034,2.969143,8.0
E08000021,42.8422,35.0
E08000034,36.13597,21.0
E06000027,23.547276,19.0
E06000032,3.7937315,1.0
E06000026,9.113921,4.0
E10000028,22.672977,4.0
E10000032,58.189762,53.0
E06000033,29.807814,3.0
E06000013,16.412943,49.0
E09000022,5.4202514,12.0
E08000026,52.88527,19.0
E09000027,27.845003,16.0
E08000013,16.215014,10.0
E06000041,27.924326,23.0
E06000047,11.485085,17.0
E06000017,41.547646,38.0
E10000021,2.8138885,1.0
E08000025,52.853798,27.0
E10000008,132.09827,81.0
E08000018,22.533676,20.0
E06000005,26.287245,14.0
E10000017,4.6974244,6.0
E06000009,95.636665,88.0
E08000030,12.3672905,16.0
E06000057,43.120747,23.0
E06000038,30.708658,17.0
E10000007,12.6892395,28.0
E10000023,46.238136,28.0
E06000031,27.962854,24.0
E08000033,6.137152,12.0
E06000043,10.928381,5.0
E09000003,13.808231,11.0
E06000014,59.3395,13.0
E10000029,8.728472,10.0
E10000002,27.175125,52.0
E09000006,30.223843,27.0
E08000011,21.573149,20.0
E06000021,10.825304,11.0
E09000026,29.981924,13.0
E06000056,20.06417,7.0
E06000002,19.303017,11.0
E06000034,46.611164,25.0
