n,o,l
tarragona,4.0520334,13.0
almeria,2.6018884,3.0
guadalajara,23.859352,55.0
lleida,30.783197,12.0
araba/alava,20.600466,10.0
bizkaia,126.98185,35.0
granada,36.586887,55.0
burgos,29.263554,27.0
alicante,77.73879,40.0
valladolid,139.19269,31.0
cuenca,14.168585,33.0
cordoba,16.581799,10.0
jaen,22.688765,12.0
malaga,21.77241,15.0
valencia,114.91019,83.0
toledo,20.352205,77.0
avila,24.950842,24.0
barcelona,600.4333,501.0
zamora,18.197462,3.0
ciudad_real,91.88883,88.0
palencia,15.079922,30.0
castellon,35.299656,10.0
leon,53.01103,94.0
girona,0.25506258,0.0
caceres,47.34036,38.0
gipuzkoa,50.905025,14.0
cadiz,13.715104,23.0
badajoz,20.173569,7.0
albacete,30.694384,13.0
sevilla,34.721565,16.0
salamanca,55.307407,6.0
soria,32.010193,70.0
huelva,4.7489357,12.0
segovia,66.21072,43.0
