n,o,l
tarragona,3.4607859,0.0
almeria,7.832205,0.0
guadalajara,16.474741,40.0
lleida,9.08566,0.0
araba/alava,9.795409,0.0
bizkaia,15.632708,0.0
granada,22.34671,0.0
burgos,73.07639,76.0
alicante,33.99109,100.0
valladolid,20.259697,26.0
cuenca,38.860558,188.0
cordoba,8.785911,0.0
jaen,10.657361,0.0
malaga,37.52361,0.0
valencia,37.84681,94.0
toledo,34.49182,51.0
avila,18.313957,16.0
barcelona,154.24619,0.0
zamora,7.3803883,24.0
ciudad_real,29.985723,75.0
palencia,9.959151,6.0
castellon,14.006401,47.0
leon,17.661528,58.0
girona,21.510088,0.0
caceres,7.2324967,15.0
gipuzkoa,2.6926346,0.0
cadiz,10.0984335,0.0
badajoz,1.4001783,8.0
albacete,35.017372,47.0
sevilla,8.729495,0.0
salamanca,14.866336,69.0
soria,23.755735,69.0
huelva,6.4700475,0.0
segovia,26.270823,37.0
