n,o,l
tarragona,27.658237,4.0
almeria,9.6855545,13.0
guadalajara,30.950031,18.0
lleida,26.853792,14.0
araba/alava,57.590275,0.0
bizkaia,166.01862,0.0
granada,42.22578,43.0
burgos,23.469034,149.0
alicante,29.443441,80.0
valladolid,65.553375,46.0
cuenca,25.803068,55.0
cordoba,18.142551,21.0
jaen,17.899,24.0
malaga,88.18614,38.0
valencia,67.565636,55.0
toledo,53.31765,29.0
avila,37.254883,45.0
barcelona,621.32556,356.0
zamora,8.125081,30.0
ciudad_real,106.236664,89.0
palencia,26.928913,16.0
castellon,17.210848,23.0
leon,61.897903,41.0
girona,154.80943,94.0
caceres,29.441896,17.0
gipuzkoa,39.393322,0.0
cadiz,13.552993,15.0
badajoz,7.0664043,4.0
albacete,37.97647,86.0
sevilla,28.760794,24.0
salamanca,41.89036,72.0
soria,53.746437,28.0
huelva,3.6004524,9.0
segovia,53.341846,52.0
