n,o,l
E08000016,16.318062,15.0
E09000001,0.0,0.0
E06000051,8.478978,21.0
E06000039,8.735227,10.0
E09000005,24.334785,28.0
E09000020,1.245837,8.0
E08000001,26.260733,26.0
E06000004,5.1832476,2.0
E08000012,35.887714,34.0
E09000010,14.890675,30.0
E09000002,6.829169,9.0
E08000022,7.3460803,12.0
E08000031,15.78985,27.0
E10000013,41.218327,26.0
E08000032,18.875599,32.0
E08000035,40.403393,50.0
E08000003,32.544903,15.0
E06000035,10.534739,25.0
E06000042,9.482046,13.0
E06000008,7.060912,5.0
E06000059,1.0024804,9.0
E06000015,2.6997464,11.0
E06000011,15.167318,13.0
E08000024,34.850323,38.0
E06000003,4.2359514,6.0
E06000024,0.73999983,18.0
E06000049,25.501944,31.0
E08000037,17.380579,20.0
E10000015,56.238064,48.0
E06000016,9.427193,11.0
E10000016,136.96431,182.0
E08000017,9.70161,19.0
E06000018,7.4716926,21.0
E08000002,15.470913,31.0
E06000050,15.6997175,31.0
E06000045,6.870836,20.0
E10000027,15.85183,34.0
E09000017,11.035961,19.0
E06000001,26.969187,26.0
E10000031,0.9304238,0.0
E10000006,37.493496,31.0
E10000030,87.73713,62.0
E08000019,58.558662,38.0
E06000055,10.207526,16.0
E10000020,51.15397,55.0
E10000003,14.427043,26.0
E06000044,4.889276,8.0
E09000004,10.37354,10.0
E10000019,24.09322,22.0
E06000020,0.5487107,10.0
E09000029,23.670773,15.0
E06000012,0.20377928,9.0
E09000015,12.824904,18.0
E06000030,10.11571,11.0
E10000018,23.758558,34.0
E10000012,60.817993,45.0
E09000008,28.580822,19.0
E06000054,10.155244,9.0
E08000015,32.431454,30.0
E08000008,10.437747,11.0
E06000006,5.1879697,10.0
E06000052,11.715769,14.0
E09000023,13.933282,27.0
E08000009,10.166745,11.0
E10000025,42.31226,47.0
E06000007,14.539105,13.0
E08000036,10.802108,12.0
E09000021,1.4521538,4.0
E09000009,8.02673,9.0
E08000004,25.920862,17.0
E08000005,21.664267,20.0
E08000027,14.13842,16.0
E09000016,19.486902,20.0
E08000014,13.175232,8.0
E10000024,23.866804,25.0
E06000022,28.183144,41.0
E08000023,2.0283873,6.0
E09000018,16.632544,24.0
E06000037,8.162097,11.0
E08000007,6.9533153,10.0
E08000010,21.594522,20.0
E06000040,26.100334,38.0
E10000011,4.296958,7.0
E06000036,9.734138,20.0
E10000014,3.9249525,6.0
E06000046,77.976326,86.0
E10000034,0.31283993,1.0
E08000021,34.136135,50.0
E08000034,17.319605,17.0
E06000027,12.198896,11.0
E06000032,0.101994865,16.0
E06000026,4.333954,7.0
E10000028,7.9696918,24.0
E10000032,46.82958,47.0
E06000033,1.5631537,1.0
E06000013,32.961433,41.0
E09000022,7.7324414,19.0
E08000026,17.59376,10.0
E09000027,13.891388,20.0
E08000013,2.4424994,5.0
E06000041,13.455664,22.0
E06000047,8.449085,27.0
E06000017,41.43327,39.0
E10000021,0.0,0.0
E08000025,24.562176,15.0
E10000008,65.13007,93.0
E08000018,20.239443,31.0
E06000005,20.68724,21.0
E10000017,3.2937481,7.0
E06000009,86.337555,82.0
E08000030,9.668171,20.0
E06000057,15.105562,34.0
E06000038,24.36806,25.0
E10000007,21.216858,19.0
E10000023,25.084766,38.0
E06000031,23.559557,20.0
E08000033,1.1714978,11.0
E06000043,2.6544907,8.0
E09000003,6.678519,15.0
E06000014,14.614695,14.0
E10000029,2.912962,12.0
E10000002,30.692648,31.0
E09000006,18.59685,29.0
E08000011,13.42297,26.0
E06000021,9.270832,16.0
E09000026,8.912756,9.0
E06000056,7.793463,22.0
E06000002,10.26261,17.0
E06000034,19.673582,22.0
