n,o,l
tarragona,75.8179,0.0
almeria,22.872293,25.0
guadalajara,0.09913293,0.0
lleida,61.932568,22.0
araba/alava,119.42904,36.0
bizkaia,222.51035,114.0
granada,82.07312,24.0
burgos,48.977898,21.0
alicante,215.1806,68.0
valladolid,77.35206,51.0
cuenca,0.09912267,0.0
cordoba,68.55664,72.0
jaen,62.12121,20.0
malaga,87.10524,53.0
valencia,158.88174,146.0
toledo,0.099135704,0.0
avila,37.858345,41.0
barcelona,1326.8698,650.0
zamora,20.69443,16.0
ciudad_real,0.09913659,0.0
palencia,38.004597,20.0
castellon,61.175045,65.0
leon,92.35482,57.0
girona,49.415855,167.0
caceres,87.24626,58.0
gipuzkoa,76.59744,32.0
cadiz,44.054802,0.0
badajoz,45.5549,16.0
albacete,0.099958114,10.0
sevilla,94.20587,61.0
salamanca,99.386505,34.0
soria,57.213158,80.0
huelva,17.412815,9.0
segovia,62.698795,97.0
