n,o,l
oise,38.65544,18.0
loire_atlantique,0.74444866,0.0
calvados,3.1176977,6.0
hauts_de_seine,79.44503,77.0
tarn_et_garonne,0.8070557,2.0
val_de_marne,56.044407,40.0
alpes_de_haute_provence,0.891355,5.0
vosges,17.251387,8.0
haute_saone,3.875792,1.0
vaucluse,4.3408113,10.0
charente_maritime,2.8532043,6.0
ardeche,1.2457336,5.0
savoie,0.78224945,0.0
loir_et_cher,0.8059725,0.0
haute_marne,0.7573392,0.0
alpes_maritimes,6.328491,10.0
drome,3.116323,2.0
meuse,0.37488002,7.0
aude,4.8876977,0.0
herault,32.742626,27.0
manche,1.5311176,6.0
yvelines,26.50297,15.0
seine_et_marne,48.508533,66.0
ain,6.3717546,33.0
indre_et_loire,1.5805784,0.0
correze,0.74181217,0.0
bouches_du_rhone,77.792366,59.0
loiret,12.671125,1.0
moselle,16.652403,50.0
nord,11.256787,11.0
vienne,0.79938066,0.0
eure_et_loir,23.130514,16.0
puy_de_dome,6.509145,2.0
rhone,13.122724,10.0
ardennes,1.1417984,3.0
charente,0.67296743,1.0
aisne,18.235645,11.0
var,13.707728,9.0
lot_et_garonne,0.7191453,0.0
loire,0.8231163,1.0
pyrenees_orientales,1.0630174,0.0
nievre,2.193221,4.0
aube,8.549836,7.0
maine_et_loire,0.5248623,1.0
haute_savoie,12.6630535,9.0
saone_et_loire,9.577228,7.0
doubs,5.246465,5.0
pyrenees_atlantiques,2.8229997,15.0
pas_de_calais,14.235977,23.0
indre,9.412958,8.0
cote_d'or,3.2401366,1.0
seine_maritime,12.442773,20.0
marne,10.913266,42.0
yonne,1.0649962,2.0
haute_vienne,0.97606033,1.0
seine_saint_denis,74.57636,68.0
bas_rhin,12.976625,27.0
lot,0.8311632,1.0
landes,35.57199,1.0
haut_rhin,0.7488859,14.0
orne,0.8211419,0.0
isere,3.1557472,1.0
territoire_de_belfort,1.1263905,1.0
haute_garonne,4.3275185,5.0
dordogne,0.77496856,0.0
paris,96.15495,92.0
gard,8.224424,4.0
mayenne,0.0,0.0
val_d'oise,32.564957,36.0
gironde,11.266849,5.0
cher,5.8506546,6.0
eure,20.714018,23.0
jura,3.4025679,6.0
tarn,0.5216457,1.0
haute_loire,0.8015564,5.0
somme,13.840339,12.0
gers,1.4571884,6.0
cantal,0.29669482,1.0
meurthe_et_moselle,3.3035116,4.0
hautes_pyrenees,3.7193954,7.0
essonne,47.0159,92.0
