n,o,l
oise,78.66594,0.0
meurthe_et_moselle,10.969139,0.0
alpes_maritimes,35.45024,1.0
marne,17.881044,2.0
loire,1.8836403,0.0
ain,9.290417,68.0
pyrenees_atlantiques,11.8477745,0.0
var,25.29413,0.0
aude,14.869597,0.0
ardennes,5.280452,0.0
loir_et_cher,0.0,0.0
somme,15.85887,0.0
hautes_pyrenees,10.27935,0.0
haute_garonne,21.668612,2.0
bouches_du_rhone,45.060616,0.0
bas_rhin,216.67029,9.0
cantal,0.0,2.0
landes,6.832035,0.0
rhone,2.063807,0.0
calvados,1.7720182,2.0
cote_d'or,7.0240874,0.0
eure_et_loir,27.798029,1.0
meuse,0.0,0.0
indre_et_loire,9.305415,0.0
aube,19.520895,0.0
indre,10.734749,0.0
val_de_marne,73.37903,6.0
haute_marne,3.7735388,0.0
herault,75.48593,5.0
gard,12.269456,1.0
paris,188.23439,35.0
haute_vienne,3.6599722,0.0
ardeche,9.918482,0.0
vaucluse,14.736555,0.0
drome,0.3987705,0.0
pas_de_calais,15.439389,0.0
loiret,24.072348,0.0
yvelines,49.963615,3.0
jura,0.04909441,0.0
tarn_et_garonne,4.0781493,0.0
manche,11.1987915,0.0
territoire_de_belfort,8.464747,0.0
eure,14.098667,0.0
val_d'oise,99.44411,25.0
pyrenees_orientales,0.04944329,0.0
hauts_de_seine,145.22966,4.0
moselle,20.920431,1.0
isere,66.63121,17.0
essonne,1.4074332,0.0
nievre,5.4142013,0.0
vosges,29.367117,0.0
lot,5.3487234,0.0
haute_saone,12.187755,1.0
seine_maritime,28.662289,0.0
dordogne,4.4662247,0.0
alpes_de_haute_provence,5.345117,0.0
puy_de_dome,10.926384,2.0
haut_rhin,46.704124,0.0
charente_maritime,5.985179,1.0
vienne,0.0,0.0
nord,17.600752,0.0
saone_et_loire,12.554698,6.0
haute_loire,0.076532766,0.0
charente,4.940712,0.0
loire_atlantique,3.4037619,0.0
aisne,6.4663877,0.0
tarn,28.322773,0.0
gironde,2.292035,0.0
cher,26.1921,0.0
mayenne,17.545048,0.0
doubs,0.0,0.0
seine_et_marne,13.690717,5.0
correze,59.54124,0.0
gers,0.100576,0.0
orne,7.3480096,0.0
maine_et_loire,5.3242254,0.0
seine_saint_denis,104.37563,7.0
yonne,0.25941557,0.0
lot_et_garonne,3.348003,0.0
haute_savoie,38.54806,0.0
savoie,0.16204539,0.0
