n,o,l
tarragona,34.98928,0.0
almeria,10.57774,8.0
guadalajara,0.1420103,19.0
lleida,45.521885,50.0
araba/alava,49.250305,38.0
bizkaia,149.43806,225.0
granada,38.416016,30.0
burgos,17.534008,86.0
alicante,52.201355,23.0
valladolid,69.59054,110.0
cuenca,0.14198744,40.0
cordoba,25.245548,12.0
jaen,21.978764,32.0
malaga,44.01274,66.0
valencia,71.0996,142.0
toledo,0.1420176,142.0
avila,28.29743,36.0
barcelona,743.12494,1089.0
zamora,9.435099,48.0
ciudad_real,0.14202096,245.0
palencia,14.853024,6.0
castellon,20.049343,26.0
leon,38.524826,184.0
girona,41.508408,0.0
caceres,28.985605,117.0
gipuzkoa,55.401142,36.0
cadiz,16.48965,38.0
badajoz,13.558557,21.0
albacete,0.14273758,25.0
sevilla,42.904617,55.0
salamanca,66.96206,88.0
soria,14.255675,37.0
huelva,6.057688,5.0
segovia,82.63853,88.0
