n,o,l
oise,37.344677,41.0
loire_atlantique,0.18185534,0.0
calvados,1.899374,3.0
hauts_de_seine,78.917465,83.0
tarn_et_garonne,0.04298754,0.0
val_de_marne,53.96863,62.0
alpes_de_haute_provence,0.31167704,2.0
vosges,14.714482,9.0
haute_saone,2.3817036,24.0
vaucluse,3.58909,7.0
charente_maritime,2.525522,2.0
ardeche,0.0,4.0
savoie,0.15141258,0.0
loir_et_cher,0.0,0.0
haute_marne,0.0017549321,0.0
alpes_maritimes,6.8594556,0.0
drome,1.4563491,3.0
meuse,0.7452697,0.0
aude,2.4827087,0.0
herault,30.488634,14.0
manche,0.6205386,8.0
yvelines,26.240704,52.0
seine_et_marne,39.31098,99.0
ain,1.6143641,12.0
indre_et_loire,0.4939353,4.0
correze,0.0,0.0
bouches_du_rhone,75.36684,112.0
loiret,10.744709,1.0
moselle,20.940046,7.0
nord,7.13435,17.0
vienne,0.0,0.0
eure_et_loir,17.350153,19.0
puy_de_dome,4.5909295,18.0
rhone,11.236344,11.0
ardennes,0.2630711,1.0
charente,0.0,0.0
aisne,15.039624,17.0
var,9.898765,6.0
lot_et_garonne,0.0,0.0
loire,0.0,10.0
pyrenees_orientales,0.0,1.0
nievre,1.5581911,8.0
aube,7.92568,21.0
maine_et_loire,0.0,0.0
haute_savoie,13.521124,7.0
saone_et_loire,6.7832236,11.0
doubs,4.32509,7.0
pyrenees_atlantiques,1.8250432,1.0
pas_de_calais,8.502763,21.0
indre,8.613629,13.0
cote_d'or,1.9607186,1.0
seine_maritime,10.129879,12.0
marne,9.85385,15.0
yonne,0.0,4.0
haute_vienne,0.0,0.0
seine_saint_denis,68.600845,77.0
bas_rhin,12.168533,25.0
lot,0.0,1.0
landes,0.094543874,18.0
haut_rhin,41.073433,3.0
orne,0.0,1.0
isere,1.8781793,2.0
territoire_de_belfort,0.588847,3.0
haute_garonne,3.3168423,5.0
dordogne,0.0,0.0
paris,93.16606,115.0
gard,7.12747,10.0
mayenne,0.0,1.0
val_d'oise,34.850185,34.0
gironde,10.482682,7.0
cher,5.6847644,10.0
eure,8.2224455,31.0
jura,2.112108,2.0
tarn,0.0,1.0
haute_loire,0.06356545,6.0
somme,10.88519,23.0
gers,0.71942246,12.0
cantal,0.0,1.0
meurthe_et_moselle,3.439161,2.0
hautes_pyrenees,2.4163122,10.0
essonne,37.57287,41.0
