n,o,l
E08000016,16.35199,8.0
E09000001,0.6666931,0.0
E06000051,8.436563,18.0
E06000039,9.303206,8.0
E09000005,39.916996,10.0
E09000020,11.886182,0.0
E08000001,32.699627,14.0
E06000004,9.963569,5.0
E08000012,58.2719,28.0
E09000010,25.992352,21.0
E09000002,12.755675,2.0
E08000022,18.897348,9.0
E08000031,21.473482,36.0
E10000013,52.463028,28.0
E08000032,28.101519,47.0
E08000035,45.21632,69.0
E08000003,53.92146,29.0
E06000035,24.047968,15.0
E06000042,14.773555,5.0
E06000008,10.826567,8.0
E06000059,10.782349,2.0
E06000015,7.6268296,7.0
E06000011,16.142477,26.0
E08000024,49.58716,21.0
E06000003,6.180377,11.0
E06000024,3.2737186,6.0
E06000049,30.78205,28.0
E08000037,36.81779,24.0
E10000015,80.57436,40.0
E06000016,21.73746,16.0
E10000016,118.45764,111.0
E08000017,7.7580357,36.0
E06000018,14.210108,17.0
E08000002,20.449982,20.0
E06000050,28.831057,19.0
E06000045,11.929177,7.0
E10000027,11.616647,13.0
E09000017,34.636044,8.0
E06000001,3.5645158,34.0
E10000031,21.607588,9.0
E10000006,73.0371,42.0
E10000030,85.2108,51.0
E08000019,56.761883,42.0
E06000055,14.787131,12.0
E10000020,49.16461,47.0
E10000003,24.547962,15.0
E06000044,7.294695,6.0
E09000004,20.354233,9.0
E10000019,24.59277,23.0
E06000020,3.9257648,3.0
E09000029,17.575342,9.0
E06000012,1.2045029,3.0
E09000015,27.000473,12.0
E06000030,12.9660425,7.0
E10000018,26.290766,21.0
E10000012,80.174,90.0
E09000008,42.938843,14.0
E06000054,9.746699,7.0
E08000015,43.383823,23.0
E08000008,14.410424,10.0
E06000006,13.093563,5.0
E06000052,13.6995735,7.0
E09000023,26.304468,10.0
E08000009,21.436876,12.0
E10000025,61.46168,42.0
E06000007,27.425814,8.0
E08000036,17.47463,8.0
E09000021,5.1444616,5.0
E09000009,13.130212,14.0
E08000004,34.280056,10.0
E08000005,34.36885,13.0
E08000027,21.009127,14.0
E09000016,20.580599,7.0
E08000014,25.474295,10.0
E10000024,30.134823,24.0
E06000022,32.017384,5.0
E08000023,8.456296,29.0
E09000018,15.984484,6.0
E06000037,18.654364,3.0
E08000007,5.9641914,19.0
E08000010,32.5904,23.0
E06000040,24.983717,5.0
E10000011,2.9326043,7.0
E06000036,20.030302,4.0
E10000014,2.0972435,54.0
E06000046,91.44089,9.0
E10000034,0.9638192,14.0
E08000021,34.05111,20.0
E08000034,33.004234,28.0
E06000027,16.806723,0.0
E06000032,5.398522,11.0
E06000026,6.2152677,3.0
E10000028,24.222265,48.0
E10000032,53.391003,27.0
E06000033,38.824825,4.0
E06000013,9.202563,20.0
E09000022,4.070324,11.0
E08000026,28.795862,9.0
E09000027,16.860748,3.0
E08000013,6.856816,20.0
E06000041,20.463617,8.0
E06000047,8.434741,41.0
E06000017,58.00095,1.0
E10000021,0.8518678,12.0
E08000025,34.536312,46.0
E10000008,78.40723,12.0
E08000018,23.233492,23.0
E06000005,16.607338,8.0
E10000017,7.3076115,66.0
E06000009,102.616714,18.0
E08000030,10.406674,45.0
E06000057,25.640337,21.0
E06000038,29.32465,11.0
E10000007,11.243165,41.0
E10000023,30.723785,42.0
E06000031,26.95714,7.0
E08000033,2.1288407,5.0
E06000043,6.1796002,2.0
E09000003,9.324615,10.0
E06000014,37.534134,9.0
E10000029,5.1789775,46.0
E10000002,30.264233,22.0
E09000006,25.379187,10.0
E08000011,19.315693,17.0
E06000021,13.208709,21.0
E09000026,25.926664,3.0
E06000056,16.194704,11.0
E06000002,15.601531,9.0
E06000034,32.942993,2.0
