n,o,l
E08000016,19.432491,15.0
E09000001,2.042325,2.0
E06000051,13.96767,8.0
E06000039,5.9079967,10.0
E09000005,56.421864,57.0
E09000020,14.08955,21.0
E08000001,6.6926546,17.0
E06000004,6.9560204,16.0
E08000012,36.1789,43.0
E09000010,18.364985,26.0
E09000002,15.19717,11.0
E08000022,10.616297,3.0
E08000031,19.879158,21.0
E10000013,23.629044,33.0
E08000032,18.47105,23.0
E08000035,25.258444,27.0
E08000003,26.116322,24.0
E06000035,11.726672,10.0
E06000042,7.5616403,14.0
E06000008,5.517311,8.0
E06000059,8.869439,12.0
E06000015,21.69359,22.0
E06000011,7.9561043,12.0
E08000024,10.733301,29.0
E06000003,9.565127,7.0
E06000024,5.9231787,8.0
E06000049,14.736989,12.0
E08000037,10.120444,30.0
E10000015,68.85921,86.0
E06000016,3.8267624,5.0
E10000016,66.328896,62.0
E08000017,16.525934,19.0
E06000018,9.608301,11.0
E08000002,9.241041,16.0
E06000050,17.737955,16.0
E06000045,13.3117,17.0
E10000027,6.631422,9.0
E09000017,24.052067,18.0
E06000001,2.4398608,5.0
E10000031,30.917786,40.0
E10000006,54.37617,34.0
E10000030,66.071625,101.0
E08000019,68.94259,75.0
E06000055,3.5137537,7.0
E10000020,24.648808,27.0
E10000003,17.960033,25.0
E06000044,2.8717654,4.0
E09000004,19.753843,15.0
E10000019,20.90281,28.0
E06000020,9.360744,6.0
E09000029,21.989862,23.0
E06000012,2.5617611,4.0
E09000015,35.380253,29.0
E06000030,4.273315,6.0
E10000018,9.3197,14.0
E10000012,73.32838,76.0
E09000008,38.23853,56.0
E06000054,4.596199,13.0
E08000015,18.194317,18.0
E08000008,11.292971,10.0
E06000006,3.7575386,12.0
E06000052,13.235668,11.0
E09000023,33.050014,27.0
E08000009,12.964112,19.0
E10000025,29.163595,39.0
E06000007,9.529756,18.0
E08000036,14.859566,11.0
E09000021,5.4743004,10.0
E09000009,14.779343,19.0
E08000004,36.879665,28.0
E08000005,15.287758,18.0
E08000027,13.934564,11.0
E09000016,24.98288,28.0
E08000014,9.0076885,16.0
E10000024,17.723392,19.0
E06000022,32.538498,35.0
E08000023,5.369616,5.0
E09000018,5.2835803,14.0
E06000037,21.492153,24.0
E08000007,4.233551,11.0
E08000010,14.016891,23.0
E06000040,14.334827,19.0
E10000011,5.3896155,9.0
E06000036,14.809351,14.0
E10000014,4.1321006,3.0
E06000046,66.289986,85.0
E10000034,2.1215022,3.0
E08000021,31.365456,44.0
E08000034,27.342731,19.0
E06000027,14.734525,19.0
E06000032,2.4630122,5.0
E06000026,5.8836627,7.0
E10000028,14.451557,16.0
E10000032,43.96019,41.0
E06000033,23.73361,32.0
E06000013,10.0542755,13.0
E09000022,4.555915,3.0
E08000026,42.481087,52.0
E09000027,21.723812,23.0
E08000013,20.323635,12.0
E06000041,17.408543,23.0
E06000047,10.822709,15.0
E06000017,18.737354,20.0
E10000021,2.0992458,0.0
E08000025,28.413174,53.0
E10000008,99.0851,123.0
E08000018,16.474823,9.0
E06000005,21.793072,27.0
E10000017,2.542171,9.0
E06000009,52.726177,97.0
E08000030,3.6678386,6.0
E06000057,27.65237,27.0
E06000038,10.764708,7.0
E10000007,11.858375,10.0
E10000023,35.214222,39.0
E06000031,18.502296,31.0
E08000033,3.5142205,6.0
E06000043,8.655159,12.0
E09000003,11.226925,6.0
E06000014,50.24289,42.0
E10000029,2.490314,4.0
E10000002,19.175941,23.0
E09000006,19.950462,29.0
E08000011,12.5025015,22.0
E06000021,11.432244,14.0
E09000026,22.788166,25.0
E06000056,11.035204,11.0
E06000002,12.842178,17.0
E06000034,37.86557,39.0
