n,o,l
oise,15.622533,13.0
meurthe_et_moselle,2.7433944,2.0
alpes_maritimes,2.3386948,0.0
marne,3.5191834,2.0
loire,1.4840138,0.0
ain,5.926086,5.0
pyrenees_atlantiques,10.033702,0.0
var,5.290742,0.0
aude,1.5040605,1.0
ardennes,2.201118,2.0
loir_et_cher,1.2811368,1.0
somme,10.700372,6.0
hautes_pyrenees,3.7134342,1.0
haute_garonne,3.0179715,6.0
bouches_du_rhone,7.7791376,4.0
bas_rhin,45.395164,30.0
cantal,1.6362994,0.0
landes,1.362263,0.0
rhone,4.4970546,4.0
calvados,1.0297642,0.0
cote_d'or,1.4642556,5.0
eure_et_loir,6.4364066,3.0
meuse,2.2305622,0.0
indre_et_loire,1.3304763,1.0
aube,7.462624,3.0
indre,14.13106,8.0
val_de_marne,33.288185,29.0
haute_marne,1.3579643,0.0
herault,16.507055,16.0
gard,6.177711,9.0
paris,48.557976,32.0
haute_vienne,1.4370954,0.0
ardeche,2.1956968,0.0
vaucluse,1.929984,0.0
drome,1.3776493,2.0
pas_de_calais,15.488656,9.0
loiret,1.230691,4.0
yvelines,28.136133,30.0
jura,5.554663,1.0
tarn_et_garonne,1.1638472,1.0
manche,1.4168811,0.0
territoire_de_belfort,2.1046467,1.0
eure,16.486874,6.0
val_d'oise,21.670706,14.0
pyrenees_orientales,1.6173717,0.0
hauts_de_seine,25.12059,23.0
moselle,13.376109,9.0
isere,63.838886,49.0
essonne,1.3376187,1.0
nievre,2.9274309,0.0
vosges,1.4153602,1.0
lot,1.1906598,0.0
haute_saone,2.8328438,2.0
seine_maritime,4.423672,4.0
dordogne,1.2641248,1.0
alpes_de_haute_provence,1.4425619,1.0
puy_de_dome,2.0734313,4.0
haut_rhin,6.3407536,6.0
charente_maritime,1.93905,3.0
vienne,1.4451623,2.0
nord,9.630623,17.0
saone_et_loire,4.8509154,6.0
haute_loire,1.1933715,3.0
charente,1.1833311,0.0
loire_atlantique,1.1895059,0.0
aisne,1.2594111,0.0
tarn,8.998061,4.0
gironde,1.2900501,2.0
cher,2.4083388,0.0
mayenne,4.867787,3.0
doubs,1.2673764,0.0
seine_et_marne,4.1936994,2.0
correze,38.885963,42.0
gers,1.4050021,0.0
orne,2.916804,0.0
maine_et_loire,3.2236185,7.0
seine_saint_denis,59.792923,24.0
yonne,1.6058927,0.0
lot_et_garonne,1.2601833,0.0
haute_savoie,4.468804,4.0
savoie,1.1691091,0.0
