n,o,l
oise,49.280914,11.0
loire_atlantique,0.15398048,0.0
calvados,13.567519,0.0
hauts_de_seine,159.70828,24.0
tarn_et_garonne,0.98105896,0.0
val_de_marne,69.49073,13.0
alpes_de_haute_provence,0.10432614,0.0
vosges,20.675388,0.0
haute_saone,14.227995,0.0
vaucluse,10.6743965,2.0
charente_maritime,1.7202967,0.0
ardeche,1.8923076,0.0
savoie,0.2980517,0.0
loir_et_cher,4.8799214,0.0
haute_marne,0.10432719,0.0
alpes_maritimes,9.875402,0.0
drome,8.955515,0.0
meuse,0.087445214,0.0
aude,8.257534,0.0
herault,92.188515,3.0
manche,3.4657671,0.0
yvelines,52.0346,4.0
seine_et_marne,42.969906,8.0
ain,3.443436,0.0
indre_et_loire,4.470194,0.0
correze,0.06893526,0.0
bouches_du_rhone,206.39679,3.0
loiret,14.022437,0.0
moselle,17.42999,0.0
nord,13.854405,0.0
vienne,0.0,0.0
eure_et_loir,21.33009,0.0
puy_de_dome,4.383238,1.0
rhone,7.2251077,0.0
ardennes,0.10412776,0.0
charente,0.08067278,0.0
aisne,3.9438708,0.0
var,24.448036,0.0
lot_et_garonne,0.04625797,0.0
loire,0.05965192,1.0
pyrenees_orientales,0.0,0.0
nievre,0.10456154,0.0
aube,11.987236,0.0
maine_et_loire,0.0,0.0
haute_savoie,42.622314,0.0
saone_et_loire,3.4155319,0.0
doubs,12.53757,0.0
pyrenees_atlantiques,3.1741776,0.0
pas_de_calais,4.475578,0.0
indre,6.968941,0.0
cote_d'or,2.9391236,0.0
seine_maritime,24.274233,0.0
marne,14.178791,0.0
yonne,0.47140482,0.0
haute_vienne,0.25274187,0.0
seine_saint_denis,111.17856,23.0
bas_rhin,20.534096,0.0
lot,0.43642682,0.0
landes,32.433567,12.0
haut_rhin,2.8285038,0.0
orne,0.044532474,0.0
isere,5.3266788,0.0
territoire_de_belfort,11.872733,0.0
haute_garonne,12.916822,2.0
dordogne,0.10259762,0.0
paris,218.14685,49.0
gard,4.059101,0.0
mayenne,0.0,0.0
val_d'oise,118.20672,19.0
gironde,20.82597,0.0
cher,13.3371315,5.0
eure,8.145184,0.0
jura,0.10138698,0.0
tarn,0.103958495,0.0
haute_loire,0.08682378,0.0
somme,11.770182,0.0
gers,0.7304053,0.0
cantal,0.0,2.0
meurthe_et_moselle,7.1530952,0.0
hautes_pyrenees,0.51028836,0.0
essonne,80.88881,45.0
