n,o,l
oise,40.882195,11.0
loire_atlantique,0.0,0.0
calvados,2.5039935,0.0
hauts_de_seine,85.78443,43.0
tarn_et_garonne,0.0,0.0
val_de_marne,64.181404,58.0
alpes_de_haute_provence,0.0,3.0
vosges,19.344118,3.0
haute_saone,3.5147736,10.0
vaucluse,3.1973028,4.0
charente_maritime,2.438894,5.0
ardeche,0.17177933,10.0
savoie,0.0,0.0
loir_et_cher,0.0,0.0
haute_marne,0.0,0.0
alpes_maritimes,4.9745016,5.0
drome,2.5469728,3.0
meuse,0.3427344,1.0
aude,4.0948925,1.0
herault,35.567936,33.0
manche,0.7463503,3.0
yvelines,28.28679,49.0
seine_et_marne,53.986702,95.0
ain,6.411882,7.0
indre_et_loire,0.48692763,1.0
correze,0.0,0.0
bouches_du_rhone,94.217,56.0
loiret,13.080724,3.0
moselle,19.314415,25.0
nord,12.667766,13.0
vienne,0.0,1.0
eure_et_loir,27.495735,9.0
puy_de_dome,5.7280655,0.0
rhone,15.098309,12.0
ardennes,0.04725171,2.0
charente,0.0,0.0
aisne,21.035652,8.0
var,15.626582,5.0
lot_et_garonne,0.0,0.0
loire,0.0,0.0
pyrenees_orientales,0.0,2.0
nievre,1.4156154,4.0
aube,8.793572,8.0
maine_et_loire,0.0,0.0
haute_savoie,12.738781,4.0
saone_et_loire,10.704572,7.0
doubs,5.327232,13.0
pyrenees_atlantiques,1.39185,5.0
pas_de_calais,15.603719,16.0
indre,10.503341,18.0
cote_d'or,2.5556574,1.0
seine_maritime,14.349963,3.0
marne,10.431031,8.0
yonne,0.0,4.0
haute_vienne,0.0,2.0
seine_saint_denis,81.846054,82.0
bas_rhin,14.309415,27.0
lot,0.0,0.0
landes,36.63691,16.0
haut_rhin,0.0,2.0
orne,0.0,0.0
isere,1.9987265,1.0
territoire_de_belfort,0.0,2.0
haute_garonne,4.2421274,4.0
dordogne,0.0,0.0
paris,105.28574,79.0
gard,7.1065717,5.0
mayenne,0.0,1.0
val_d'oise,36.168777,30.0
gironde,11.8699665,2.0
cher,4.5623612,4.0
eure,24.295174,28.0
jura,3.1360192,4.0
tarn,0.0,0.0
haute_loire,0.0,1.0
somme,14.62839,9.0
gers,0.27040327,3.0
cantal,0.0,3.0
meurthe_et_moselle,1.9098587,11.0
hautes_pyrenees,3.172824,9.0
essonne,53.225647,58.0
