n,o,l
E08000016,7.407988,15.0
E09000001,0.0,0.0
E06000051,7.0491195,6.0
E06000039,0.7867828,17.0
E09000005,2.6871183,16.0
E09000020,0.68474,4.0
E08000001,7.945089,17.0
E06000004,2.3659825,18.0
E08000012,12.031219,18.0
E09000010,5.0904317,4.0
E09000002,0.19598958,5.0
E08000022,1.7505366,10.0
E08000031,12.853363,26.0
E10000013,13.54372,21.0
E08000032,16.818739,29.0
E08000035,27.173365,28.0
E08000003,10.921504,15.0
E06000035,3.3999195,8.0
E06000042,0.8319119,1.0
E06000008,1.3663497,7.0
E06000059,1.1034224,11.0
E06000015,4.095661,6.0
E06000011,11.600549,19.0
E08000024,7.751739,21.0
E06000003,2.7468631,6.0
E06000024,0.73374116,7.0
E06000049,13.345811,13.0
E08000037,10.061938,18.0
E10000015,21.143192,49.0
E06000016,6.6824994,6.0
E10000016,59.450924,53.0
E08000017,8.870486,31.0
E06000018,5.227789,13.0
E08000002,4.758838,5.0
E06000050,10.286979,20.0
E06000045,2.8746772,7.0
E10000027,4.557282,9.0
E09000017,1.2823011,4.0
E06000001,2.6067464,4.0
E10000031,14.535935,14.0
E10000006,19.590218,30.0
E10000030,24.21231,25.0
E08000019,23.993692,17.0
E06000055,4.985866,2.0
E10000020,27.477139,38.0
E10000003,9.6691,32.0
E06000044,1.0796095,7.0
E09000004,1.7585905,8.0
E10000019,8.198215,14.0
E06000020,2.0491128,5.0
E09000029,1.4564316,3.0
E06000012,0.0,1.0
E09000015,4.7099524,5.0
E06000030,1.1664145,7.0
E10000018,9.100447,12.0
E10000012,44.2683,57.0
E09000008,6.5605474,8.0
E06000054,2.3162131,6.0
E08000015,9.921058,18.0
E08000008,2.248714,13.0
E06000006,0.0,3.0
E06000052,2.557712,3.0
E09000023,2.8026567,5.0
E08000009,4.5572,9.0
E10000025,18.283434,22.0
E06000007,6.001283,6.0
E08000036,3.662981,10.0
E09000021,0.49476817,6.0
E09000009,3.1170664,12.0
E08000004,5.5500813,24.0
E08000005,3.7068074,8.0
E08000027,5.9497905,32.0
E09000016,1.1049912,17.0
E08000014,4.467648,6.0
E10000024,8.883737,15.0
E06000022,0.0,3.0
E08000023,8.726813,11.0
E09000018,0.69728565,8.0
E06000037,1.1066356,2.0
E08000007,7.977758,12.0
E08000010,12.249276,21.0
E06000040,0.1783401,3.0
E10000011,4.0305676,5.0
E06000036,0.0,0.0
E10000014,31.133902,43.0
E06000046,0.27493778,12.0
E10000034,9.34465,13.0
E08000021,6.418648,5.0
E08000034,5.2426677,27.0
E06000027,1.0580635,1.0
E06000032,5.0309606,14.0
E06000026,1.8293688,8.0
E10000028,26.00776,20.0
E10000032,11.251955,13.0
E06000033,0.041877173,5.0
E06000013,7.529122,18.0
E09000022,2.5210562,10.0
E08000026,4.857141,20.0
E09000027,0.0,3.0
E08000013,7.336165,12.0
E06000041,3.1257105,9.0
E06000047,21.48252,44.0
E06000017,0.0,1.0
E10000021,3.149478,11.0
E08000025,27.421581,22.0
E10000008,6.191029,12.0
E08000018,9.507569,11.0
E06000005,2.200574,6.0
E10000017,38.32682,50.0
E06000009,7.923763,7.0
E08000030,14.62399,23.0
E06000057,5.485324,16.0
E06000038,4.198376,5.0
E10000007,25.142336,15.0
E10000023,16.41359,22.0
E06000031,3.2193828,10.0
E08000033,0.2524218,6.0
E06000043,0.0,5.0
E09000003,3.36638,4.0
E06000014,3.0226417,3.0
E10000029,19.094368,50.0
E10000002,7.816186,9.0
E09000006,4.039342,7.0
E08000011,4.8706493,8.0
E06000021,7.5777373,17.0
E09000026,0.8944446,4.0
E06000056,5.0281773,7.0
E06000002,6.003056,13.0
E06000034,0.27569047,4.0
