n,o,l
oise,43.68542,38.0
meurthe_et_moselle,5.399276,3.0
alpes_maritimes,16.323458,14.0
marne,12.059934,12.0
loire,0.58456373,2.0
ain,3.1751611,23.0
pyrenees_atlantiques,5.088101,7.0
var,15.520589,17.0
aude,6.9704437,13.0
ardennes,0.95343965,4.0
loir_et_cher,1.2089549,2.0
somme,10.249591,20.0
hautes_pyrenees,1.6987867,6.0
haute_garonne,13.762784,7.0
bouches_du_rhone,22.73589,21.0
bas_rhin,142.19794,106.0
cantal,0.5908351,0.0
landes,0.5670195,0.0
rhone,3.826898,20.0
calvados,7.3728447,5.0
cote_d'or,2.230745,2.0
eure_et_loir,16.412737,43.0
meuse,0.28726757,1.0
indre_et_loire,4.0882936,6.0
aube,8.969457,12.0
indre,6.214578,8.0
val_de_marne,55.85118,61.0
haute_marne,0.85019034,1.0
herault,52.91552,34.0
gard,5.988883,7.0
paris,152.00873,114.0
haute_vienne,1.0199317,4.0
ardeche,2.4367664,7.0
vaucluse,8.659269,4.0
drome,3.830052,6.0
pas_de_calais,6.562207,35.0
loiret,13.8831415,20.0
yvelines,36.59139,33.0
jura,0.50819904,3.0
tarn_et_garonne,0.8788365,0.0
manche,4.118472,5.0
territoire_de_belfort,3.5758424,7.0
eure,7.606778,63.0
val_d'oise,76.57256,48.0
pyrenees_orientales,0.26786423,4.0
hauts_de_seine,108.969406,95.0
moselle,11.136432,6.0
isere,66.279816,78.0
essonne,4.858126,4.0
nievre,1.6628898,2.0
vosges,18.292532,25.0
lot,0.51747304,0.0
haute_saone,8.392384,7.0
seine_maritime,13.643169,13.0
dordogne,0.9590467,1.0
alpes_de_haute_provence,0.83696103,0.0
puy_de_dome,5.1912336,8.0
haut_rhin,35.604427,31.0
charente_maritime,2.4562247,4.0
vienne,0.0,1.0
nord,11.684035,22.0
saone_et_loire,5.0906267,10.0
haute_loire,0.42101806,1.0
charente,0.65780914,0.0
loire_atlantique,0.5141846,0.0
aisne,1.5874392,39.0
tarn,12.060164,0.0
gironde,0.58340013,10.0
cher,15.123021,14.0
mayenne,12.3657675,0.0
doubs,0.2848822,10.0
seine_et_marne,5.760107,79.0
correze,39.168297,0.0
gers,0.24485768,3.0
orne,2.1212027,0.0
maine_et_loire,2.2386992,0.0
seine_saint_denis,84.95836,81.0
yonne,0.36377895,1.0
lot_et_garonne,0.53774685,5.0
haute_savoie,21.959328,27.0
savoie,0.4211257,1.0
