n,o,l
oise,57.759274,38.0
loire_atlantique,1.0419514,0.0
calvados,5.3812203,5.0
hauts_de_seine,144.16682,95.0
tarn_et_garonne,0.38126275,0.0
val_de_marne,81.16164,61.0
alpes_de_haute_provence,1.1862087,0.0
vosges,20.716396,25.0
haute_saone,7.4723663,7.0
vaucluse,10.302978,4.0
charente_maritime,5.4293795,4.0
ardeche,1.5976068,7.0
savoie,0.80078876,1.0
loir_et_cher,0.4689547,2.0
haute_marne,0.235439,1.0
alpes_maritimes,19.430647,14.0
drome,0.9182741,6.0
meuse,0.6086173,1.0
aude,7.2878942,13.0
herault,59.356495,34.0
manche,3.702424,5.0
yvelines,49.89606,33.0
seine_et_marne,51.528362,79.0
ain,5.4396586,23.0
indre_et_loire,4.6498137,6.0
correze,0.0,0.0
bouches_du_rhone,172.26814,106.0
loiret,18.823595,20.0
moselle,27.304317,6.0
nord,11.3839445,22.0
vienne,0.0,1.0
eure_et_loir,20.414783,43.0
puy_de_dome,5.783857,8.0
rhone,19.654411,17.0
ardennes,2.0029612,4.0
charente,0.055456053,0.0
aisne,20.669773,39.0
var,3.8069704,20.0
lot_et_garonne,0.0,1.0
loire,0.0,2.0
pyrenees_orientales,0.00826399,4.0
nievre,1.9894016,2.0
aube,13.679317,12.0
maine_et_loire,0.0,0.0
haute_savoie,28.464405,27.0
saone_et_loire,6.357559,10.0
doubs,8.75793,10.0
pyrenees_atlantiques,5.5240426,7.0
pas_de_calais,8.832824,35.0
indre,11.639917,8.0
cote_d'or,1.2246696,2.0
seine_maritime,16.984661,13.0
marne,16.8899,12.0
yonne,0.14031178,5.0
haute_vienne,1.1658374,4.0
seine_saint_denis,102.40424,81.0
bas_rhin,31.349302,21.0
lot,0.0,0.0
landes,59.042244,0.0
haut_rhin,0.7237508,31.0
orne,0.13224539,0.0
isere,3.8958044,7.0
territoire_de_belfort,3.7774873,4.0
haute_garonne,13.233006,7.0
dordogne,0.00609304,1.0
paris,190.1896,114.0
gard,7.7363577,7.0
mayenne,0.0,0.0
val_d'oise,86.01099,48.0
gironde,20.37647,10.0
cher,14.596909,14.0
eure,10.583427,63.0
jura,1.0277948,3.0
tarn,0.7469913,0.0
haute_loire,0.0,1.0
somme,11.558221,20.0
gers,2.6658788,3.0
cantal,0.0,0.0
meurthe_et_moselle,9.914997,3.0
hautes_pyrenees,3.9602404,6.0
essonne,73.213,78.0
