n,o,l
tarragona,1.9445926,0.0
almeria,6.0312643,0.0
guadalajara,13.005157,40.0
lleida,5.4486146,0.0
araba/alava,3.5045788,0.0
bizkaia,5.628106,0.0
granada,16.959072,0.0
burgos,57.446957,76.0
alicante,47.408974,100.0
valladolid,12.926613,26.0
cuenca,52.942924,188.0
cordoba,6.5372953,0.0
jaen,9.944648,0.0
malaga,31.730982,0.0
valencia,48.111244,94.0
toledo,40.959293,51.0
avila,15.885578,16.0
barcelona,120.00758,0.0
zamora,8.417644,24.0
ciudad_real,25.112514,75.0
palencia,6.7407637,6.0
castellon,16.249249,47.0
leon,18.336683,58.0
girona,12.821319,0.0
caceres,5.2469687,15.0
gipuzkoa,0.7494693,0.0
cadiz,7.983472,0.0
badajoz,3.3909535,8.0
albacete,39.655403,47.0
sevilla,13.742071,0.0
salamanca,22.146908,69.0
soria,23.571302,69.0
huelva,5.252718,0.0
segovia,23.532429,37.0
