n,o,l
oise,49.10593,11.0
meurthe_et_moselle,4.059153,11.0
alpes_maritimes,6.5355906,5.0
marne,11.859187,8.0
loire,0.0,0.0
ain,2.7290876,7.0
pyrenees_atlantiques,1.5466352,5.0
var,11.604384,12.0
aude,2.725933,1.0
ardennes,0.41256398,2.0
loir_et_cher,0.0,0.0
somme,11.535771,9.0
hautes_pyrenees,2.8202639,9.0
haute_garonne,3.1277514,4.0
bouches_du_rhone,12.80376,27.0
bas_rhin,71.7754,56.0
cantal,0.0,3.0
landes,0.0,0.0
rhone,2.3540602,5.0
calvados,5.8454995,0.0
cote_d'or,1.6596469,1.0
eure_et_loir,15.068183,9.0
meuse,0.9851101,1.0
indre_et_loire,0.35214984,1.0
aube,8.634378,8.0
indre,7.4975886,18.0
val_de_marne,58.808178,58.0
haute_marne,0.0,0.0
herault,34.67246,33.0
gard,8.121121,5.0
paris,126.40399,79.0
haute_vienne,0.0,2.0
ardeche,0.0,10.0
vaucluse,4.56617,4.0
drome,0.794267,3.0
pas_de_calais,8.773519,16.0
loiret,12.619842,3.0
yvelines,29.47913,49.0
jura,0.57183534,4.0
tarn_et_garonne,0.0,0.0
manche,0.41658497,3.0
territoire_de_belfort,1.5428108,1.0
eure,8.432641,28.0
val_d'oise,40.98614,30.0
pyrenees_orientales,0.0,2.0
hauts_de_seine,93.82356,43.0
moselle,22.893234,25.0
isere,56.872414,2.0
essonne,0.45736986,58.0
nievre,2.16985,4.0
vosges,13.81806,3.0
lot,0.0,0.0
haute_saone,10.576513,10.0
seine_maritime,2.5240064,3.0
dordogne,0.0,0.0
alpes_de_haute_provence,0.0,3.0
puy_de_dome,6.2408657,0.0
haut_rhin,44.11784,16.0
charente_maritime,1.7810767,5.0
vienne,0.0,1.0
nord,8.469424,13.0
saone_et_loire,4.2119036,7.0
haute_loire,0.0,1.0
charente,0.0,0.0
loire_atlantique,0.0,0.0
aisne,14.534492,0.0
tarn,0.0,8.0
gironde,11.909125,0.0
cher,6.903501,2.0
mayenne,0.0,4.0
doubs,2.6664772,1.0
seine_et_marne,46.657566,13.0
correze,0.0,95.0
gers,0.68786937,0.0
orne,0.0,3.0
maine_et_loire,0.0,2.0
seine_saint_denis,81.71075,82.0
yonne,0.0,4.0
lot_et_garonne,0.0,0.0
haute_savoie,13.716174,4.0
savoie,0.0,0.0
