n,o,l
oise,37.387753,32.0
meurthe_et_moselle,2.1227126,7.0
alpes_maritimes,3.2866006,1.0
marne,8.383858,8.0
loire,0.0,1.0
ain,5.7039447,19.0
pyrenees_atlantiques,0.6882567,0.0
var,13.21982,17.0
aude,4.693344,4.0
ardennes,0.11426308,5.0
loir_et_cher,0.0,0.0
somme,11.742815,18.0
hautes_pyrenees,2.8176777,40.0
haute_garonne,2.538622,2.0
bouches_du_rhone,10.392368,37.0
bas_rhin,81.16146,127.0
cantal,0.0,0.0
landes,0.0,0.0
rhone,11.239445,11.0
calvados,1.841094,4.0
cote_d'or,1.3803706,5.0
eure_et_loir,21.21588,9.0
meuse,1.3820485,3.0
indre_et_loire,0.7342037,1.0
aube,11.425989,20.0
indre,7.082254,15.0
val_de_marne,51.50761,56.0
haute_marne,0.0,3.0
herault,21.282972,16.0
gard,5.5750275,10.0
paris,84.9231,79.0
haute_vienne,0.0,2.0
ardeche,0.41346568,7.0
vaucluse,1.6997908,5.0
drome,0.9649823,7.0
pas_de_calais,12.7072115,28.0
loiret,10.139614,0.0
yvelines,24.532497,41.0
jura,1.4559251,1.0
tarn_et_garonne,4.6964874,3.0
manche,0.77398384,16.0
territoire_de_belfort,2.301312,2.0
eure,20.442375,36.0
val_d'oise,28.21862,41.0
pyrenees_orientales,0.0,0.0
hauts_de_seine,66.402176,93.0
moselle,34.694386,52.0
isere,48.8377,61.0
essonne,0.13067405,3.0
nievre,2.4946265,12.0
vosges,13.216333,12.0
lot,0.0,0.0
haute_saone,3.0080118,23.0
seine_maritime,9.076257,9.0
dordogne,0.0,0.0
alpes_de_haute_provence,0.0,4.0
puy_de_dome,4.6383243,10.0
haut_rhin,31.274956,67.0
charente_maritime,1.2132139,42.0
vienne,0.0,1.0
nord,11.808578,20.0
saone_et_loire,7.214756,13.0
haute_loire,0.0,1.0
charente,0.033444002,0.0
loire_atlantique,0.0,0.0
aisne,0.0,14.0
tarn,16.145905,4.0
gironde,0.0,14.0
cher,7.963419,17.0
mayenne,10.585152,0.0
doubs,0.0,12.0
seine_et_marne,4.234859,72.0
correze,44.797405,0.0
gers,0.0,6.0
orne,0.807791,5.0
maine_et_loire,0.0,0.0
seine_saint_denis,61.865623,79.0
yonne,0.0,2.0
lot_et_garonne,0.0,3.0
haute_savoie,9.993818,30.0
savoie,0.0,0.0
