n,o,l
oise,9.806117,19.0
loire_atlantique,0.0,0.0
calvados,3.417914,1.0
hauts_de_seine,25.881598,22.0
tarn_et_garonne,0.008397959,0.0
val_de_marne,14.636628,17.0
alpes_de_haute_provence,0.791982,0.0
vosges,3.0496173,0.0
haute_saone,4.836957,4.0
vaucluse,2.630392,2.0
charente_maritime,0.0,2.0
ardeche,1.460417,4.0
savoie,0.0,3.0
loir_et_cher,0.0,0.0
haute_marne,0.0,2.0
alpes_maritimes,2.945024,1.0
drome,1.5463436,0.0
meuse,0.118256524,7.0
aude,0.14374521,3.0
herault,8.033557,8.0
manche,3.387054,0.0
yvelines,9.593916,11.0
seine_et_marne,20.70453,31.0
ain,14.031046,14.0
indre_et_loire,0.7644457,0.0
correze,0.0,1.0
bouches_du_rhone,31.41501,55.0
loiret,0.16825083,0.0
moselle,7.8361993,5.0
nord,4.3524714,7.0
vienne,0.0,0.0
eure_et_loir,4.1232014,11.0
puy_de_dome,2.8080518,4.0
rhone,3.0669756,4.0
ardennes,1.6048362,4.0
charente,0.045667224,0.0
aisne,3.877665,12.0
var,3.4889243,5.0
lot_et_garonne,0.0,0.0
loire,0.58466285,0.0
pyrenees_orientales,0.12919742,1.0
nievre,2.6395576,3.0
aube,4.82519,9.0
maine_et_loire,0.05183669,1.0
haute_savoie,5.693593,8.0
saone_et_loire,3.6022856,8.0
doubs,2.8407128,2.0
pyrenees_atlantiques,3.662926,1.0
pas_de_calais,7.109864,25.0
indre,3.4017324,6.0
cote_d'or,0.0,1.0
seine_maritime,5.781967,10.0
marne,11.601222,7.0
yonne,1.0338918,3.0
haute_vienne,0.857613,1.0
seine_saint_denis,21.253668,56.0
bas_rhin,8.105198,4.0
lot,0.28932202,0.0
landes,0.38797852,3.0
haut_rhin,14.005799,1.0
orne,0.0,0.0
isere,0.47128075,2.0
territoire_de_belfort,0.8401505,0.0
haute_garonne,1.4588509,13.0
dordogne,0.0,0.0
paris,30.97186,42.0
gard,2.3306842,8.0
mayenne,0.13377288,0.0
val_d'oise,14.230449,24.0
gironde,2.9422305,1.0
cher,3.5726585,9.0
eure,7.7917376,19.0
jura,1.6844208,13.0
tarn,0.022918329,1.0
haute_loire,1.4016275,0.0
somme,5.413385,18.0
gers,2.2081814,7.0
cantal,1.0754082,1.0
meurthe_et_moselle,2.7712882,0.0
hautes_pyrenees,5.41611,7.0
essonne,27.05248,83.0
