n,o,l
tarragona,1.0881594,16.0
almeria,6.946885,6.0
guadalajara,30.16248,32.0
lleida,45.447147,27.0
araba/alava,32.363567,140.0
bizkaia,179.58055,222.0
granada,31.147509,32.0
burgos,54.026535,42.0
alicante,62.246563,11.0
valladolid,142.00543,49.0
cuenca,30.518139,47.0
cordoba,20.063196,1.0
jaen,22.016537,8.0
malaga,46.231636,17.0
valencia,102.00409,24.0
toledo,85.555664,94.0
avila,25.54776,64.0
barcelona,888.47906,268.0
zamora,27.77561,3.0
ciudad_real,167.14369,88.0
palencia,10.425485,36.0
castellon,35.99806,5.0
leon,118.145775,27.0
girona,1.0908527,87.0
caceres,81.00964,4.0
gipuzkoa,56.263523,30.0
cadiz,28.293396,11.0
badajoz,22.573116,3.0
albacete,30.81266,30.0
sevilla,51.62322,12.0
salamanca,53.98566,42.0
soria,36.957355,66.0
huelva,4.990736,3.0
segovia,84.95271,15.0
