n,o,l
oise,52.635418,44.0
meurthe_et_moselle,15.600837,2.0
alpes_maritimes,17.38797,7.0
marne,17.942463,11.0
loire,0.0,1.0
ain,5.558415,2.0
pyrenees_atlantiques,5.967998,5.0
var,27.526512,26.0
aude,11.621331,2.0
ardennes,2.372622,1.0
loir_et_cher,5.0983853,0.0
somme,14.8526325,23.0
hautes_pyrenees,5.0546546,10.0
haute_garonne,16.266157,12.0
bouches_du_rhone,26.907043,23.0
bas_rhin,216.78401,153.0
cantal,0.0,0.0
landes,0.0,2.0
rhone,18.890413,36.0
calvados,12.832074,6.0
cote_d'or,6.2028456,7.0
eure_et_loir,23.255173,46.0
meuse,0.0,0.0
indre_et_loire,10.232097,5.0
aube,17.165638,12.0
indre,11.574586,21.0
val_de_marne,70.89774,87.0
haute_marne,1.8853544,0.0
herault,100.62055,47.0
gard,5.630305,5.0
paris,215.62485,123.0
haute_vienne,1.8276827,1.0
ardeche,2.8384995,2.0
vaucluse,19.965244,6.0
drome,9.517752,7.0
pas_de_calais,6.6271567,20.0
loiret,16.24144,18.0
yvelines,52.14464,31.0
jura,0.9918912,12.0
tarn_et_garonne,2.8995693,2.0
manche,7.4675794,6.0
territoire_de_belfort,7.0966134,5.0
eure,11.028898,20.0
val_d'oise,122.46323,47.0
pyrenees_orientales,0.0,1.0
hauts_de_seine,160.17873,96.0
moselle,30.70042,12.0
isere,80.23604,59.0
essonne,15.014478,4.0
nievre,0.78229815,3.0
vosges,25.670979,31.0
lot,2.147734,3.0
haute_saone,26.362938,10.0
seine_maritime,16.724253,26.0
dordogne,1.5834855,1.0
alpes_de_haute_provence,1.633722,3.0
puy_de_dome,6.316982,10.0
haut_rhin,36.2719,34.0
charente_maritime,2.7739956,10.0
vienne,0.0,1.0
nord,17.94339,13.0
saone_et_loire,4.7923574,26.0
haute_loire,0.20388234,1.0
charente,0.090135664,4.0
loire_atlantique,1.9944736,3.0
aisne,9.11712,2.0
tarn,0.5531642,33.0
gironde,30.849823,1.0
cher,14.733814,18.0
mayenne,0.0,6.0
doubs,16.336761,0.0
seine_et_marne,47.713665,13.0
correze,0.4827687,57.0
gers,3.3000767,2.0
orne,3.6116893,3.0
maine_et_loire,0.0,4.0
seine_saint_denis,111.43023,96.0
yonne,0.0,0.0
lot_et_garonne,0.22088632,0.0
haute_savoie,46.65989,15.0
savoie,2.5744264,1.0
