n,o,l
oise,21.976793,11.0
meurthe_et_moselle,3.4632864,11.0
alpes_maritimes,4.477014,5.0
marne,4.7837005,8.0
loire,0.0,0.0
ain,12.756907,7.0
pyrenees_atlantiques,0.28538537,5.0
var,4.8869624,12.0
aude,3.4043412,1.0
ardennes,0.60693145,2.0
loir_et_cher,0.0,0.0
somme,6.1442904,9.0
hautes_pyrenees,0.5634464,9.0
haute_garonne,2.5741882,4.0
bouches_du_rhone,3.1787791,27.0
bas_rhin,51.74936,56.0
cantal,0.0,3.0
landes,0.0,0.0
rhone,3.054699,5.0
calvados,1.4285449,0.0
cote_d'or,0.0,1.0
eure_et_loir,22.452322,9.0
meuse,0.18540052,1.0
indre_et_loire,0.11799458,1.0
aube,8.329834,8.0
indre,4.241984,18.0
val_de_marne,34.223015,58.0
haute_marne,0.0,0.0
herault,7.642774,33.0
gard,4.665776,5.0
paris,63.441788,79.0
haute_vienne,0.0,2.0
ardeche,0.09174147,10.0
vaucluse,3.6471877,4.0
drome,0.0092993975,3.0
pas_de_calais,10.163614,16.0
loiret,5.864056,3.0
yvelines,17.914278,49.0
jura,3.121385,4.0
tarn_et_garonne,0.54970753,0.0
manche,0.91322684,3.0
territoire_de_belfort,0.7522749,1.0
eure,13.149935,28.0
val_d'oise,18.63833,30.0
pyrenees_orientales,0.0,2.0
hauts_de_seine,39.041115,43.0
moselle,12.753954,25.0
isere,47.273773,2.0
essonne,0.94493246,58.0
nievre,4.0165057,4.0
vosges,4.358875,3.0
lot,0.0,0.0
haute_saone,1.7878335,10.0
seine_maritime,7.3336296,3.0
dordogne,0.0,0.0
alpes_de_haute_provence,0.0,3.0
puy_de_dome,2.641286,0.0
haut_rhin,10.242092,16.0
charente_maritime,0.0,5.0
vienne,0.0,1.0
nord,8.62693,13.0
saone_et_loire,4.6115317,7.0
haute_loire,0.0,1.0
charente,0.0,0.0
loire_atlantique,0.0,0.0
aisne,7.2322774,0.0
tarn,0.0,8.0
gironde,2.9704432,0.0
cher,4.248143,2.0
mayenne,0.0,4.0
doubs,2.392846,1.0
seine_et_marne,39.56643,13.0
correze,0.0,95.0
gers,0.48373088,0.0
orne,0.0,3.0
maine_et_loire,0.0,2.0
seine_saint_denis,39.758606,82.0
yonne,0.0,4.0
lot_et_garonne,0.0,0.0
haute_savoie,7.6150365,4.0
savoie,0.0,0.0
