n,o,l
E08000016,15.395016,17.0
E09000001,0.0,0.0
E06000051,11.527473,19.0
E06000039,8.870585,5.0
E09000005,41.09816,15.0
E09000020,15.36289,5.0
E08000001,36.558765,20.0
E06000004,11.876774,10.0
E08000012,68.95783,21.0
E09000010,29.699152,13.0
E09000002,15.172207,3.0
E08000022,22.962215,9.0
E08000031,21.644785,16.0
E10000013,50.153683,36.0
E08000032,33.374966,24.0
E08000035,48.68017,46.0
E08000003,61.569584,20.0
E06000035,26.437426,14.0
E06000042,14.459796,6.0
E06000008,11.306313,11.0
E06000059,11.972612,16.0
E06000015,7.7504497,8.0
E06000011,15.528513,21.0
E08000024,56.25756,20.0
E06000003,5.5237145,9.0
E06000024,2.8139634,8.0
E06000049,32.922474,34.0
E08000037,40.51924,43.0
E10000015,87.14169,34.0
E06000016,24.059761,16.0
E10000016,121.78859,84.0
E08000017,17.633602,20.0
E06000018,15.951969,13.0
E08000002,23.09059,19.0
E06000050,32.011528,26.0
E06000045,13.875223,14.0
E10000027,10.020946,11.0
E09000017,37.994926,6.0
E06000001,4.634771,19.0
E10000031,23.472633,20.0
E10000006,86.14719,35.0
E10000030,92.21088,51.0
E08000019,59.544376,19.0
E06000055,16.897884,29.0
E10000020,52.987194,57.0
E10000003,26.055904,25.0
E06000044,7.0938163,2.0
E09000004,23.973003,4.0
E10000019,22.035568,19.0
E06000020,1.2566118,12.0
E09000029,24.042332,11.0
E06000012,0.0,9.0
E09000015,28.38203,11.0
E06000030,13.971428,10.0
E10000018,26.716194,14.0
E10000012,93.78372,63.0
E09000008,50.42192,22.0
E06000054,10.759031,13.0
E08000015,49.69215,22.0
E08000008,18.373272,5.0
E06000006,14.174639,5.0
E06000052,15.122236,13.0
E09000023,33.792862,4.0
E08000009,23.409899,9.0
E10000025,64.21264,44.0
E06000007,29.878437,23.0
E08000036,16.735226,7.0
E09000021,9.2686615,5.0
E09000009,16.661272,10.0
E08000004,34.47314,18.0
E08000005,33.76883,11.0
E08000027,25.626337,18.0
E09000016,17.736225,8.0
E08000014,28.603779,5.0
E10000024,37.30866,34.0
E06000022,38.233665,6.0
E08000023,6.3141313,16.0
E09000018,16.909603,6.0
E06000037,21.573334,9.0
E08000007,3.6837506,19.0
E08000010,34.62387,32.0
E06000040,27.862286,5.0
E10000011,3.8564873,8.0
E06000036,22.137686,6.0
E10000014,4.0383277,63.0
E06000046,101.27275,10.0
E10000034,0.06914848,19.0
E08000021,39.07476,10.0
E08000034,37.01622,10.0
E06000027,20.607315,5.0
E06000032,23.022243,12.0
E06000026,2.5762725,7.0
E10000028,27.382895,55.0
E10000032,53.145615,30.0
E06000033,46.50827,4.0
E06000013,9.902296,23.0
E09000022,10.597466,18.0
E08000026,35.77239,20.0
E09000027,18.597498,1.0
E08000013,7.607827,25.0
E06000041,24.284578,4.0
E06000047,5.843001,50.0
E06000017,62.395546,1.0
E10000021,0.0,12.0
E08000025,38.597603,53.0
E10000008,85.69534,26.0
E08000018,20.254402,20.0
E06000005,16.856752,8.0
E10000017,15.652287,76.0
E06000009,116.976974,21.0
E08000030,8.650634,17.0
E06000057,28.919645,9.0
E06000038,32.72168,9.0
E10000007,10.246931,25.0
E10000023,36.169167,28.0
E06000031,30.209991,9.0
E08000033,0.0,5.0
E06000043,4.7689443,5.0
E09000003,11.365472,11.0
E06000014,44.40385,10.0
E10000029,6.6974816,41.0
E10000002,32.214993,11.0
E09000006,28.42268,20.0
E08000011,22.66213,27.0
E06000021,10.536276,22.0
E09000026,32.62266,6.0
E06000056,16.84289,13.0
E06000002,15.973169,10.0
E06000034,38.02292,4.0
