n,o,l
tarragona,3.4474561,3.0
almeria,10.166045,0.0
guadalajara,29.83751,49.0
lleida,47.205482,2.0
araba/alava,36.46153,34.0
bizkaia,189.51125,60.0
granada,31.18521,85.0
burgos,59.580765,15.0
alicante,61.800793,67.0
valladolid,139.69235,95.0
cuenca,37.08421,43.0
cordoba,21.288374,6.0
jaen,25.681782,16.0
malaga,46.85286,16.0
valencia,112.303986,133.0
toledo,108.389275,89.0
avila,27.720837,55.0
barcelona,905.79956,260.0
zamora,32.63038,9.0
ciudad_real,197.97992,204.0
palencia,13.607521,63.0
castellon,39.91536,49.0
leon,130.48941,70.0
girona,3.4616787,22.0
caceres,90.11176,6.0
gipuzkoa,56.98835,3.0
cadiz,30.05521,85.0
badajoz,26.352547,3.0
albacete,33.18789,9.0
sevilla,52.82336,9.0
salamanca,60.464108,19.0
soria,39.196823,69.0
huelva,7.0878935,2.0
segovia,87.28212,30.0
