n,o,l
oise,34.370594,0.0
meurthe_et_moselle,3.0674083,0.0
alpes_maritimes,6.840196,1.0
marne,9.416313,2.0
loire,0.0,0.0
ain,1.4579341,68.0
pyrenees_atlantiques,2.302218,0.0
var,12.087254,0.0
aude,2.0272017,0.0
ardennes,0.0,0.0
loir_et_cher,0.0,0.0
somme,10.484696,0.0
hautes_pyrenees,2.974323,0.0
haute_garonne,4.0348377,2.0
bouches_du_rhone,12.97542,0.0
bas_rhin,77.84847,9.0
cantal,0.0,2.0
landes,0.0,0.0
rhone,11.95727,0.0
calvados,2.0293143,2.0
cote_d'or,2.2400937,0.0
eure_et_loir,19.51786,1.0
meuse,0.3236165,0.0
indre_et_loire,0.60922045,0.0
aube,7.022785,0.0
indre,9.149885,0.0
val_de_marne,52.865887,6.0
haute_marne,0.0,0.0
herault,29.653732,5.0
gard,6.103644,1.0
paris,92.275856,35.0
haute_vienne,0.0,0.0
ardeche,0.0,0.0
vaucluse,3.9985535,0.0
drome,1.9847066,0.0
pas_de_calais,9.127525,0.0
loiret,10.792583,0.0
yvelines,24.286663,3.0
jura,2.8835082,0.0
tarn_et_garonne,0.0,0.0
manche,0.7765907,0.0
territoire_de_belfort,1.9456669,0.0
eure,9.448631,0.0
val_d'oise,33.4672,25.0
pyrenees_orientales,0.0,0.0
hauts_de_seine,74.04171,4.0
moselle,17.549976,1.0
isere,37.57302,17.0
essonne,0.9721251,0.0
nievre,1.2232951,0.0
vosges,15.072417,0.0
lot,0.0,0.0
haute_saone,2.7697499,1.0
seine_maritime,11.544592,0.0
dordogne,0.0,0.0
alpes_de_haute_provence,0.12682481,0.0
puy_de_dome,4.394205,2.0
haut_rhin,36.72153,0.0
charente_maritime,3.10457,1.0
vienne,0.0,0.0
nord,7.355715,0.0
saone_et_loire,8.631854,6.0
haute_loire,0.0,0.0
charente,0.0,0.0
loire_atlantique,0.079940185,0.0
aisne,16.177124,0.0
tarn,0.0,0.0
gironde,10.454827,0.0
cher,5.5652504,0.0
mayenne,0.0,0.0
doubs,5.2718782,0.0
seine_et_marne,37.056217,5.0
correze,0.0,0.0
gers,0.39568084,0.0
orne,0.0,0.0
maine_et_loire,0.0,0.0
seine_saint_denis,63.477108,7.0
yonne,0.0,0.0
lot_et_garonne,0.0,0.0
haute_savoie,13.160355,0.0
savoie,0.07163647,0.0
