n,o,l
oise,30.29453,24.0
meurthe_et_moselle,4.8855653,0.0
alpes_maritimes,8.945295,1.0
marne,8.597157,6.0
loire,0.0,0.0
ain,1.2172079,1.0
pyrenees_atlantiques,1.9148057,0.0
var,10.672327,0.0
aude,4.029233,0.0
ardennes,0.19671759,0.0
loir_et_cher,1.1084003,0.0
somme,6.0398235,6.0
hautes_pyrenees,0.6314826,3.0
haute_garonne,8.639164,0.0
bouches_du_rhone,15.96562,3.0
bas_rhin,117.046616,19.0
cantal,0.0,1.0
landes,0.0,0.0
rhone,1.9642271,0.0
calvados,4.5409646,1.0
cote_d'or,1.2460096,0.0
eure_et_loir,11.401559,1.0
meuse,0.041636165,0.0
indre_et_loire,2.475228,0.0
aube,6.8043656,0.0
indre,4.4271855,0.0
val_de_marne,42.064095,17.0
haute_marne,0.32479632,0.0
herault,39.95651,15.0
gard,3.146447,2.0
paris,118.234825,80.0
haute_vienne,0.2760873,0.0
ardeche,0.76595825,0.0
vaucluse,6.4119315,0.0
drome,2.7196672,0.0
pas_de_calais,3.217904,2.0
loiret,9.858273,4.0
yvelines,28.854424,3.0
jura,0.00057081506,0.0
tarn_et_garonne,0.13417202,1.0
manche,2.1803765,0.0
territoire_de_belfort,2.219672,0.0
eure,5.5597706,1.0
val_d'oise,56.0994,6.0
pyrenees_orientales,0.0,0.0
hauts_de_seine,85.26336,35.0
moselle,13.135525,0.0
isere,48.47092,28.0
essonne,3.5099034,0.0
nievre,0.32314223,1.0
vosges,12.8381405,3.0
lot,0.0,0.0
haute_saone,5.384373,1.0
seine_maritime,9.127781,1.0
dordogne,0.21766797,0.0
alpes_de_haute_provence,0.19181034,0.0
puy_de_dome,2.3821414,7.0
haut_rhin,26.006361,3.0
charente_maritime,1.2168369,0.0
vienne,0.0,0.0
nord,7.238802,4.0
saone_et_loire,2.698929,0.0
haute_loire,0.0,0.0
charente,0.08091105,0.0
loire_atlantique,0.0,0.0
aisne,0.28884518,1.0
tarn,6.392346,0.0
gironde,0.0465308,3.0
cher,11.870533,2.0
mayenne,8.544219,0.0
doubs,0.0,1.0
seine_et_marne,4.355099,21.0
correze,29.614912,0.0
gers,0.0,1.0
orne,0.8692544,0.0
maine_et_loire,0.7764807,0.0
seine_saint_denis,65.01293,32.0
yonne,0.0,0.0
lot_et_garonne,0.0,0.0
haute_savoie,15.386817,2.0
savoie,0.0,0.0
