n,o,l
oise,32.656193,78.0
loire_atlantique,0.08570786,5.0
calvados,12.420145,11.0
hauts_de_seine,120.19158,139.0
tarn_et_garonne,0.98616594,2.0
val_de_marne,37.984932,81.0
alpes_de_haute_provence,0.05622814,4.0
vosges,16.480822,31.0
haute_saone,14.349566,6.0
vaucluse,10.035618,13.0
charente_maritime,1.4543606,5.0
ardeche,15.785588,8.0
savoie,0.10138918,3.0
loir_et_cher,3.488879,0.0
haute_marne,0.06504885,3.0
alpes_maritimes,7.417833,33.0
drome,13.355338,4.0
meuse,0.3852365,1.0
aude,8.027155,14.0
herault,76.43766,58.0
manche,3.918168,10.0
yvelines,41.278435,48.0
seine_et_marne,31.72449,72.0
ain,11.843203,9.0
indre_et_loire,4.5185905,9.0
correze,0.0,0.0
bouches_du_rhone,151.24179,216.0
loiret,9.924513,26.0
moselle,8.951332,17.0
nord,7.460853,13.0
vienne,0.1013987,0.0
eure_et_loir,13.141466,28.0
puy_de_dome,5.1503286,11.0
rhone,20.638607,23.0
ardennes,0.0,5.0
charente,0.0,2.0
aisne,4.5294127,27.0
var,22.058926,9.0
lot_et_garonne,0.0,2.0
loire,0.08769385,1.0
pyrenees_orientales,0.0,0.0
nievre,0.09604129,5.0
aube,4.9546003,14.0
maine_et_loire,0.0,1.0
haute_savoie,40.48773,34.0
saone_et_loire,2.374519,12.0
doubs,2.1992662,3.0
pyrenees_atlantiques,4.7173805,12.0
pas_de_calais,3.9203181,14.0
indre,3.3616629,10.0
cote_d'or,4.2972894,6.0
seine_maritime,15.75829,22.0
marne,9.227313,14.0
yonne,3.8411121,0.0
haute_vienne,0.10150977,3.0
seine_saint_denis,94.44064,119.0
bas_rhin,4.689112,44.0
lot,0.0,1.0
landes,25.447992,58.0
haut_rhin,1.2784959,3.0
orne,0.0,4.0
isere,1.3629621,4.0
territoire_de_belfort,18.26272,5.0
haute_garonne,11.426087,24.0
dordogne,0.09900936,2.0
paris,178.33176,182.0
gard,2.5674121,12.0
mayenne,0.0,0.0
val_d'oise,120.397995,102.0
gironde,19.066904,28.0
cher,7.3838844,8.0
eure,2.558225,12.0
jura,0.19260837,2.0
tarn,0.0928739,2.0
haute_loire,0.056117084,0.0
somme,10.097821,14.0
gers,1.416804,6.0
cantal,0.08871692,1.0
meurthe_et_moselle,5.8089933,9.0
hautes_pyrenees,1.0033263,8.0
essonne,71.710686,81.0
