n,o,l
tarragona,71.65784,43.0
almeria,17.824112,8.0
guadalajara,0.114316225,67.0
lleida,63.697945,44.0
araba/alava,93.983376,38.0
bizkaia,359.43307,201.0
granada,79.430756,13.0
burgos,43.758713,44.0
alicante,151.4999,75.0
valladolid,83.28068,121.0
cuenca,0.114312604,136.0
cordoba,69.463844,7.0
jaen,53.20307,41.0
malaga,96.244606,43.0
valencia,181.95482,140.0
toledo,0.114317775,416.0
avila,35.459595,52.0
barcelona,1318.0784,1437.0
zamora,23.415768,42.0
ciudad_real,0.114317715,154.0
palencia,32.667095,5.0
castellon,41.915985,39.0
leon,59.327965,93.0
girona,140.99423,0.0
caceres,54.599514,92.0
gipuzkoa,49.91584,27.0
cadiz,54.84915,12.0
badajoz,31.93414,20.0
albacete,0.11533841,73.0
sevilla,95.58108,21.0
salamanca,50.573555,58.0
soria,92.468864,47.0
huelva,23.393036,6.0
segovia,77.158745,61.0
