n,o,l
tarragona,25.362429,13.0
almeria,6.5811253,24.0
guadalajara,37.473072,41.0
lleida,29.102606,27.0
araba/alava,32.92319,0.0
bizkaia,119.81625,0.0
granada,43.49953,57.0
burgos,40.94338,153.0
alicante,36.59182,80.0
valladolid,57.75276,70.0
cuenca,56.35616,45.0
cordoba,9.297228,27.0
jaen,17.767576,14.0
malaga,30.45505,76.0
valencia,99.37066,95.0
toledo,115.446915,65.0
avila,30.034868,21.0
barcelona,818.0545,349.0
zamora,19.755762,16.0
ciudad_real,107.36507,55.0
palencia,13.947259,19.0
castellon,22.427681,67.0
leon,78.87508,59.0
girona,22.759584,40.0
caceres,49.021297,22.0
gipuzkoa,24.856203,0.0
cadiz,15.974585,28.0
badajoz,16.000214,4.0
albacete,29.812502,70.0
sevilla,27.792723,20.0
salamanca,52.329334,49.0
soria,23.38185,28.0
huelva,7.3691025,12.0
segovia,57.884975,46.0
