n,o,l
E08000016,0.25002062,9.0
E09000001,2.0370374,0.0
E06000051,9.559269,8.0
E06000039,9.631748,8.0
E09000005,58.034462,24.0
E09000020,8.007897,6.0
E08000001,23.80862,17.0
E06000004,14.811688,6.0
E08000012,56.90375,19.0
E09000010,25.238558,10.0
E09000002,17.29128,6.0
E08000022,21.38809,17.0
E08000031,19.456562,16.0
E10000013,38.78271,32.0
E08000032,27.370674,20.0
E08000035,34.31203,33.0
E08000003,37.97475,29.0
E06000035,22.469524,17.0
E06000042,16.990631,5.0
E06000008,10.6620245,14.0
E06000059,9.408346,8.0
E06000015,5.7907157,3.0
E06000011,13.916007,12.0
E08000024,51.140804,32.0
E06000003,11.879132,4.0
E06000024,6.8469186,6.0
E06000049,23.899359,24.0
E08000037,27.740406,26.0
E10000015,83.61008,38.0
E06000016,24.388498,15.0
E10000016,91.61492,101.0
E08000017,0.0,18.0
E06000018,16.97663,2.0
E08000002,15.923838,17.0
E06000050,32.80808,13.0
E06000045,16.317673,15.0
E10000027,12.307216,13.0
E09000017,14.807605,42.0
E06000001,4.9282885,11.0
E10000031,38.39497,15.0
E10000006,66.461205,23.0
E10000030,81.65746,47.0
E08000019,67.86766,59.0
E06000055,4.7712827,11.0
E10000020,36.89512,39.0
E10000003,24.491148,8.0
E06000044,8.232839,5.0
E09000004,24.080336,9.0
E10000019,27.06894,14.0
E06000020,8.213809,17.0
E09000029,10.433506,3.0
E06000012,2.3310878,2.0
E09000015,30.093122,13.0
E06000030,10.065158,6.0
E10000018,33.61554,16.0
E10000012,94.79377,40.0
E09000008,55.57845,24.0
E06000054,15.723414,10.0
E08000015,40.808983,19.0
E08000008,16.94811,8.0
E06000006,16.128717,6.0
E06000052,18.172821,13.0
E09000023,41.167492,6.0
E08000009,23.62743,13.0
E10000025,58.76861,34.0
E06000007,22.262556,11.0
E08000036,20.541952,13.0
E09000021,10.571168,3.0
E09000009,15.6317625,12.0
E08000004,32.37245,13.0
E08000005,18.94242,24.0
E08000027,16.62391,10.0
E09000016,26.351013,27.0
E08000014,28.474815,9.0
E10000024,36.493317,12.0
E06000022,36.969593,14.0
E08000023,3.78688,4.0
E09000018,16.924974,13.0
E06000037,25.55488,10.0
E08000007,8.604295,14.0
E08000010,31.193817,23.0
E06000040,24.122478,26.0
E10000011,7.7222247,2.0
E06000036,19.753153,14.0
E10000014,5.185841,5.0
E06000046,92.44504,60.0
E10000034,0.6245399,3.0
E08000021,32.103214,33.0
E08000034,32.79947,17.0
E06000027,20.35494,12.0
E06000032,3.6992772,3.0
E06000026,7.104668,2.0
E10000028,23.673704,33.0
E10000032,50.027912,46.0
E06000033,35.767548,27.0
E06000013,15.692794,1.0
E09000022,1.9749016,12.0
E08000026,37.635826,11.0
E09000027,16.130888,12.0
E08000013,5.9958873,3.0
E06000041,29.013731,9.0
E06000047,10.071244,4.0
E06000017,36.49669,46.0
E10000021,1.7574108,0.0
E08000025,54.069614,25.0
E10000008,108.21628,58.0
E08000018,24.041742,14.0
E06000005,2.2948167,22.0
E10000017,5.3729334,8.0
E06000009,111.0211,75.0
E08000030,10.504651,22.0
E06000057,32.12315,12.0
E06000038,25.891706,25.0
E10000007,11.403953,5.0
E10000023,13.067991,7.0
E06000031,30.077566,18.0
E08000033,6.818512,1.0
E06000043,9.163205,4.0
E09000003,12.770718,12.0
E06000014,48.16594,13.0
E10000029,7.116631,4.0
E10000002,30.58154,62.0
E09000006,25.926971,18.0
E08000011,21.450144,5.0
E06000021,8.844569,12.0
E09000026,27.472963,5.0
E06000056,17.566183,23.0
E06000002,23.810328,11.0
E06000034,40.728855,12.0
