n,o,l
oise,22.287992,41.0
loire_atlantique,0.0,0.0
calvados,1.6567978,3.0
hauts_de_seine,38.47721,83.0
tarn_et_garonne,2.1024663,0.0
val_de_marne,34.02442,62.0
alpes_de_haute_provence,0.0,2.0
vosges,4.923272,9.0
haute_saone,1.8011853,24.0
vaucluse,3.4665704,7.0
charente_maritime,0.0,2.0
ardeche,0.28881103,4.0
savoie,0.0,0.0
loir_et_cher,0.0,0.0
haute_marne,0.0,0.0
alpes_maritimes,4.7565947,0.0
drome,0.0,3.0
meuse,0.38639295,0.0
aude,3.4638927,0.0
herault,7.498367,14.0
manche,0.69824535,8.0
yvelines,17.859829,52.0
seine_et_marne,37.79472,99.0
ain,9.309269,12.0
indre_et_loire,0.31078857,4.0
correze,0.0,0.0
bouches_du_rhone,53.638454,112.0
loiret,5.9378357,1.0
moselle,21.113638,7.0
nord,8.895363,17.0
vienne,0.0,0.0
eure_et_loir,20.420221,19.0
puy_de_dome,2.4246051,18.0
rhone,6.677207,11.0
ardennes,1.0926634,1.0
charente,0.0,0.0
aisne,7.67817,17.0
var,3.4083984,6.0
lot_et_garonne,0.0,0.0
loire,0.0,10.0
pyrenees_orientales,0.0,1.0
nievre,5.4460645,8.0
aube,8.245063,21.0
maine_et_loire,0.0,0.0
haute_savoie,7.9016266,7.0
saone_et_loire,4.0381427,11.0
doubs,2.763858,7.0
pyrenees_atlantiques,0.32419103,1.0
pas_de_calais,9.375865,21.0
indre,4.6707907,13.0
cote_d'or,0.0,1.0
seine_maritime,6.3561106,12.0
marne,4.4613204,15.0
yonne,0.0,4.0
haute_vienne,0.0,0.0
seine_saint_denis,37.235874,77.0
bas_rhin,4.4616337,25.0
lot,0.0,1.0
landes,0.0,18.0
haut_rhin,14.864815,3.0
orne,0.0,1.0
isere,1.2635794,2.0
territoire_de_belfort,0.85574186,3.0
haute_garonne,1.9584388,5.0
dordogne,0.0,0.0
paris,58.835506,115.0
gard,4.2106967,10.0
mayenne,0.0,1.0
val_d'oise,16.59789,34.0
gironde,2.9677413,7.0
cher,6.058487,10.0
eure,13.241144,31.0
jura,3.5125864,2.0
tarn,0.0,1.0
haute_loire,0.0,6.0
somme,6.0657845,23.0
gers,0.643458,12.0
cantal,0.0,1.0
meurthe_et_moselle,3.0308473,2.0
hautes_pyrenees,1.0106246,10.0
essonne,44.513737,41.0
