n,o,l
oise,33.88106,41.0
loire_atlantique,0.0,0.0
calvados,1.3974048,3.0
hauts_de_seine,62.28917,83.0
tarn_et_garonne,2.6192455,0.0
val_de_marne,54.310623,62.0
alpes_de_haute_provence,0.0,2.0
vosges,9.420687,9.0
haute_saone,3.4659586,24.0
vaucluse,6.1514606,7.0
charente_maritime,0.6484344,2.0
ardeche,1.2436284,4.0
savoie,0.0,0.0
loir_et_cher,0.0,0.0
haute_marne,0.0,0.0
alpes_maritimes,8.726977,0.0
drome,0.86788094,3.0
meuse,0.88920105,0.0
aude,5.153979,0.0
herault,15.29032,14.0
manche,1.9922373,8.0
yvelines,26.69008,52.0
seine_et_marne,56.71794,99.0
ain,6.1442966,12.0
indre_et_loire,0.72152674,4.0
correze,0.0,0.0
bouches_du_rhone,81.981064,112.0
loiret,9.750084,1.0
moselle,27.956894,7.0
nord,13.5772,17.0
vienne,0.0,0.0
eure_et_loir,33.640205,19.0
puy_de_dome,4.092551,18.0
rhone,7.109815,11.0
ardennes,2.3788385,1.0
charente,0.0,0.0
aisne,12.816637,17.0
var,9.504638,6.0
lot_et_garonne,0.0,0.0
loire,0.0,10.0
pyrenees_orientales,0.20258828,1.0
nievre,8.331045,8.0
aube,12.552983,21.0
maine_et_loire,0.0,0.0
haute_savoie,12.048245,7.0
saone_et_loire,8.447042,11.0
doubs,4.7298656,7.0
pyrenees_atlantiques,0.9075792,1.0
pas_de_calais,14.843456,21.0
indre,8.280415,13.0
cote_d'or,0.10621103,1.0
seine_maritime,11.823165,12.0
marne,7.4863515,15.0
yonne,0.30597794,4.0
haute_vienne,0.34319973,0.0
seine_saint_denis,60.76387,77.0
bas_rhin,6.875009,25.0
lot,0.0,1.0
landes,0.0,18.0
haut_rhin,20.37013,3.0
orne,0.0,1.0
isere,1.7310241,2.0
territoire_de_belfort,1.7760085,3.0
haute_garonne,4.535143,5.0
dordogne,0.0,0.0
paris,91.14607,115.0
gard,7.8804374,10.0
mayenne,0.0,1.0
val_d'oise,26.596956,34.0
gironde,6.0880127,7.0
cher,8.230385,10.0
eure,20.32077,31.0
jura,4.528661,2.0
tarn,0.035894804,1.0
haute_loire,0.0,6.0
somme,10.4676895,23.0
gers,1.4823328,12.0
cantal,0.0,1.0
meurthe_et_moselle,6.0507116,2.0
hautes_pyrenees,2.0798805,10.0
essonne,66.66793,41.0
