n,o,l
E08000016,22.033087,19.0
E09000001,5.5960712,0.0
E06000051,15.860933,14.0
E06000039,13.799095,8.0
E09000005,60.21292,29.0
E09000020,20.516882,18.0
E08000001,13.375805,42.0
E06000004,12.265421,18.0
E08000012,42.743053,66.0
E09000010,28.582182,30.0
E09000002,18.450617,15.0
E08000022,11.057712,16.0
E08000031,25.54342,19.0
E10000013,30.545307,41.0
E08000032,21.66007,28.0
E08000035,28.52369,42.0
E08000003,26.580172,63.0
E06000035,17.822212,20.0
E06000042,18.422882,13.0
E06000008,10.607414,17.0
E06000059,12.045099,17.0
E06000015,25.298582,11.0
E06000011,13.886095,9.0
E08000024,14.304504,47.0
E06000003,10.706431,9.0
E06000024,10.908354,11.0
E06000049,17.85602,39.0
E08000037,19.974932,36.0
E10000015,83.17742,77.0
E06000016,9.708578,31.0
E10000016,70.98493,117.0
E08000017,20.507399,25.0
E06000018,9.895448,12.0
E08000002,15.362517,23.0
E06000050,17.757307,28.0
E06000045,15.063841,22.0
E10000027,11.479013,13.0
E09000017,27.0959,32.0
E06000001,7.7077856,9.0
E10000031,34.41897,40.0
E10000006,59.07494,69.0
E10000030,86.444595,64.0
E08000019,78.87348,53.0
E06000055,11.813692,23.0
E10000020,27.811047,53.0
E10000003,24.86517,30.0
E06000044,10.73347,10.0
E09000004,23.277369,16.0
E10000019,25.5953,22.0
E06000020,10.97163,2.0
E09000029,24.272758,22.0
E06000012,9.202921,4.0
E09000015,39.34939,31.0
E06000030,9.592909,19.0
E10000018,21.490973,34.0
E10000012,81.53349,63.0
E09000008,53.44317,43.0
E06000054,13.078007,17.0
E08000015,20.56429,40.0
E08000008,13.890445,14.0
E06000006,10.6807995,15.0
E06000052,12.503679,18.0
E09000023,33.136925,32.0
E08000009,18.996601,19.0
E10000025,34.09628,60.0
E06000007,13.814007,22.0
E08000036,16.603403,12.0
E09000021,11.260002,5.0
E09000009,21.844458,19.0
E08000004,43.22316,30.0
E08000005,21.110558,37.0
E08000027,15.933348,23.0
E09000016,28.59799,13.0
E08000014,19.77273,25.0
E10000024,21.43371,33.0
E06000022,36.059425,52.0
E08000023,9.51935,11.0
E09000018,12.012653,12.0
E06000037,25.840113,23.0
E08000007,11.621115,2.0
E08000010,20.199049,34.0
E06000040,18.079586,31.0
E10000011,11.227831,10.0
E06000036,18.713676,27.0
E10000014,8.38461,3.0
E06000046,74.863594,73.0
E10000034,7.8984985,2.0
E08000021,37.766403,39.0
E08000034,29.902308,41.0
E06000027,19.717218,15.0
E06000032,6.7587457,21.0
E06000026,9.94084,9.0
E10000028,19.865114,16.0
E10000032,47.460644,57.0
E06000033,13.731514,6.0
E06000013,31.236004,38.0
E09000022,8.835508,17.0
E08000026,49.66301,30.0
E09000027,26.890947,25.0
E08000013,21.87832,9.0
E06000041,23.193325,21.0
E06000047,13.694328,5.0
E06000017,21.286211,58.0
E10000021,7.9417477,0.0
E08000025,46.447144,33.0
E10000008,117.58159,60.0
E08000018,17.57192,21.0
E06000005,26.398657,20.0
E10000017,8.97583,14.0
E06000009,78.91266,104.0
E08000030,7.907083,11.0
E06000057,29.72759,32.0
E06000038,13.567005,36.0
E10000007,14.153904,15.0
E10000023,37.358864,37.0
E06000031,24.160921,26.0
E08000033,8.201179,2.0
E06000043,12.980322,6.0
E09000003,13.497685,6.0
E06000014,57.108463,33.0
E10000029,4.2648554,9.0
E10000002,21.20344,27.0
E09000006,26.02208,22.0
E08000011,18.67729,29.0
E06000021,16.46799,11.0
E09000026,25.869183,30.0
E06000056,14.245569,17.0
E06000002,17.059158,18.0
E06000034,41.425705,31.0
