n,o,l
tarragona,8.247004,0.0
almeria,4.3625236,0.0
guadalajara,26.794952,58.0
lleida,13.088524,0.0
araba/alava,44.35615,0.0
bizkaia,77.153015,0.0
granada,39.842415,0.0
burgos,24.324339,16.0
alicante,38.09422,80.0
valladolid,43.840588,34.0
cuenca,46.21435,75.0
cordoba,6.6334066,0.0
jaen,8.489121,0.0
malaga,50.48341,0.0
valencia,67.61181,75.0
toledo,58.68033,99.0
avila,35.387737,35.0
barcelona,294.82675,0.0
zamora,3.4930787,17.0
ciudad_real,81.1411,88.0
palencia,31.551697,25.0
castellon,22.699867,9.0
leon,38.634716,63.0
girona,55.661232,0.0
caceres,6.867169,2.0
gipuzkoa,16.168268,0.0
cadiz,6.7912674,49.0
badajoz,3.4144964,0.0
albacete,37.95635,4.0
sevilla,15.896289,0.0
salamanca,48.4279,51.0
soria,24.417816,66.0
huelva,3.07821,0.0
segovia,20.731657,39.0
