n,o,l
E08000016,18.147268,14.0
E09000001,0.85307765,1.0
E06000051,7.445855,28.0
E06000039,9.288205,5.0
E09000005,21.669643,16.0
E09000020,2.1424994,6.0
E08000001,24.321493,27.0
E06000004,5.978617,11.0
E08000012,30.678381,28.0
E09000010,15.603147,15.0
E09000002,7.1108117,11.0
E08000022,7.430844,6.0
E08000031,12.865045,20.0
E10000013,30.875261,34.0
E08000032,15.976183,25.0
E08000035,31.609446,72.0
E08000003,33.82357,27.0
E06000035,10.902376,17.0
E06000042,9.271857,9.0
E06000008,7.662703,8.0
E06000059,2.7581835,5.0
E06000015,4.8695183,3.0
E06000011,13.425599,23.0
E08000024,31.247911,21.0
E06000003,5.7306533,18.0
E06000024,2.0114126,6.0
E06000049,21.981007,21.0
E08000037,19.131723,31.0
E10000015,49.96372,53.0
E06000016,11.728406,16.0
E10000016,90.62484,125.0
E08000017,4.3828397,8.0
E06000018,7.0368066,19.0
E08000002,14.355683,7.0
E06000050,15.311776,40.0
E06000045,6.4186826,16.0
E10000027,10.974744,19.0
E09000017,12.032159,12.0
E06000001,21.820322,8.0
E10000031,2.026112,24.0
E10000006,31.324919,43.0
E10000030,71.355995,72.0
E08000019,48.48984,40.0
E06000055,9.720296,20.0
E10000020,42.76999,43.0
E10000003,12.377992,24.0
E06000044,5.746843,6.0
E09000004,8.93411,6.0
E10000019,19.423237,17.0
E06000020,1.5395687,6.0
E09000029,21.188503,9.0
E06000012,0.99257314,2.0
E09000015,13.55605,23.0
E06000030,9.849874,8.0
E10000018,16.505232,30.0
E10000012,51.404736,76.0
E09000008,24.183765,15.0
E06000054,7.910148,13.0
E08000015,28.885107,24.0
E08000008,9.001153,11.0
E06000006,5.8307633,5.0
E06000052,9.158775,11.0
E09000023,11.426488,27.0
E08000009,10.975108,23.0
E10000025,38.899197,24.0
E06000007,14.053334,24.0
E08000036,9.996672,10.0
E09000021,1.9219171,9.0
E09000009,6.3831315,14.0
E08000004,24.692135,20.0
E08000005,21.73983,17.0
E08000027,14.047568,16.0
E09000016,12.9158125,7.0
E08000014,13.220748,18.0
E10000024,20.886034,14.0
E06000022,22.317377,4.0
E08000023,4.8356757,18.0
E09000018,12.975534,11.0
E06000037,9.055189,12.0
E08000007,6.3995943,13.0
E08000010,21.154182,24.0
E06000040,22.187094,0.0
E10000011,3.1253874,20.0
E06000036,10.3268385,3.0
E10000014,4.9548717,65.0
E06000046,61.91322,6.0
E10000034,1.199849,22.0
E08000021,28.460659,17.0
E08000034,17.610445,12.0
E06000027,11.146718,6.0
E06000032,0.60357517,16.0
E06000026,6.099833,11.0
E10000028,12.274504,55.0
E10000032,39.28643,5.0
E06000033,3.2799196,28.0
E06000013,24.248785,14.0
E09000022,7.2671704,8.0
E08000026,17.392565,23.0
E09000027,12.573404,2.0
E08000013,3.196695,30.0
E06000041,9.740551,15.0
E06000047,7.792555,45.0
E06000017,37.60442,0.0
E10000021,0.9506851,10.0
E08000025,21.481493,64.0
E10000008,49.89341,15.0
E08000018,18.275534,19.0
E06000005,17.753202,10.0
E10000017,4.124265,78.0
E06000009,70.705025,22.0
E08000030,8.628409,37.0
E06000057,13.073981,23.0
E06000038,23.814722,21.0
E10000007,16.704008,38.0
E10000023,21.612238,28.0
E06000031,19.219267,16.0
E08000033,1.3379273,6.0
E06000043,3.8963358,7.0
E09000003,6.662888,23.0
E06000014,15.256322,10.0
E10000029,3.1298506,21.0
E10000002,20.620863,17.0
E09000006,15.531081,11.0
E08000011,10.45609,10.0
E06000021,9.955292,20.0
E09000026,9.308306,10.0
E06000056,9.785653,20.0
E06000002,11.249922,18.0
E06000034,17.454641,9.0
