n,o,l
E08000016,12.968202,9.0
E09000001,2.5026407,0.0
E06000051,9.615111,14.0
E06000039,8.696586,0.0
E09000005,9.642799,6.0
E09000020,3.4491372,1.0
E08000001,12.827901,5.0
E06000004,11.428003,6.0
E08000012,16.38105,3.0
E09000010,5.6089277,0.0
E09000002,3.2015314,1.0
E08000022,8.039655,5.0
E08000031,15.866427,8.0
E10000013,14.152141,1.0
E08000032,23.978252,13.0
E08000035,23.252764,16.0
E08000003,13.538909,11.0
E06000035,6.81007,6.0
E06000042,4.715313,0.0
E06000008,5.81687,3.0
E06000059,5.4780836,2.0
E06000015,6.104144,5.0
E06000011,19.61796,10.0
E08000024,16.180895,34.0
E06000003,5.4722466,2.0
E06000024,6.9201064,6.0
E06000049,15.568177,9.0
E08000037,15.951575,3.0
E10000015,31.953913,33.0
E06000016,9.803372,10.0
E10000016,58.323383,31.0
E08000017,18.006645,10.0
E06000018,6.7323246,1.0
E08000002,7.475198,5.0
E06000050,15.750043,7.0
E06000045,7.8251333,4.0
E10000027,9.413487,8.0
E09000017,17.228727,5.0
E06000001,5.2300673,8.0
E10000031,4.10586,3.0
E10000006,29.79004,1.0
E10000030,21.111511,6.0
E08000019,27.583406,23.0
E06000055,7.344455,3.0
E10000020,33.245853,11.0
E10000003,20.244383,10.0
E06000044,3.455828,0.0
E09000004,6.698591,1.0
E10000019,10.944555,10.0
E06000020,6.254151,2.0
E09000029,4.132049,4.0
E06000012,2.55529,1.0
E09000015,8.92066,4.0
E06000030,5.490344,4.0
E10000018,13.750119,9.0
E10000012,41.29644,15.0
E09000008,10.32791,1.0
E06000054,7.046706,2.0
E08000015,10.886422,5.0
E08000008,7.264818,8.0
E06000006,3.8769205,1.0
E06000052,4.610385,6.0
E09000023,5.6050973,1.0
E08000009,7.9531183,5.0
E10000025,17.054193,43.0
E06000007,9.335828,6.0
E08000036,8.715358,8.0
E09000021,4.1166735,3.0
E09000009,5.5653934,3.0
E08000004,8.900668,1.0
E08000005,12.7014,4.0
E08000027,6.52341,4.0
E09000016,17.326796,2.0
E08000014,6.9593277,1.0
E10000024,9.785253,3.0
E06000022,14.937448,7.0
E08000023,3.0181458,0.0
E09000018,12.383456,6.0
E06000037,8.0522,3.0
E08000007,4.904801,1.0
E08000010,13.673863,7.0
E06000040,13.872853,28.0
E10000011,3.5098007,0.0
E06000036,8.8162985,1.0
E10000014,2.741762,3.0
E06000046,33.12312,9.0
E10000034,6.635413,1.0
E08000021,12.462374,8.0
E08000034,13.859883,3.0
E06000027,13.081786,4.0
E06000032,1.2797498,0.0
E06000026,5.018751,0.0
E10000028,4.6675863,1.0
E10000032,23.529732,6.0
E06000033,16.181597,8.0
E06000013,4.166398,2.0
E09000022,10.682065,2.0
E08000026,6.4985423,4.0
E09000027,9.28391,4.0
E08000013,4.7638936,1.0
E06000041,8.450241,4.0
E06000047,6.369667,1.0
E06000017,34.323612,23.0
E10000021,2.7547443,1.0
E08000025,8.599035,16.0
E10000008,25.012062,33.0
E08000018,9.495189,4.0
E06000005,12.041823,5.0
E10000017,5.286582,5.0
E06000009,37.343777,36.0
E08000030,9.569037,9.0
E06000057,16.393997,2.0
E06000038,12.292281,2.0
E10000007,7.046587,2.0
E10000023,21.641838,18.0
E06000031,22.299046,12.0
E08000033,7.633381,5.0
E06000043,4.8121653,0.0
E09000003,4.891493,0.0
E06000014,7.142615,1.0
E10000029,8.190613,5.0
E10000002,24.144426,2.0
E09000006,9.597691,3.0
E08000011,8.435762,0.0
E06000021,13.344195,2.0
E09000026,6.8352184,1.0
E06000056,5.8067513,1.0
E06000002,10.089581,4.0
E06000034,10.49487,2.0
