n,o,l
tarragona,43.78598,13.0
almeria,13.133311,3.0
guadalajara,0.2063756,55.0
lleida,54.780933,12.0
araba/alava,61.129147,10.0
bizkaia,184.44434,35.0
granada,47.639725,55.0
burgos,22.128338,27.0
alicante,66.467476,40.0
valladolid,84.082085,31.0
cuenca,0.20631346,33.0
cordoba,32.944828,10.0
jaen,27.567131,12.0
malaga,54.13131,15.0
valencia,90.93654,83.0
toledo,0.20639539,77.0
avila,35.18339,24.0
barcelona,918.8839,501.0
zamora,12.152475,3.0
ciudad_real,0.20640427,88.0
palencia,18.48867,30.0
castellon,25.8153,10.0
leon,48.23638,94.0
girona,55.777996,0.0
caceres,37.119854,38.0
gipuzkoa,66.11188,14.0
cadiz,21.083796,23.0
badajoz,16.830208,7.0
albacete,0.20812023,13.0
sevilla,53.792114,16.0
salamanca,82.25608,6.0
soria,18.609526,70.0
huelva,7.879247,12.0
segovia,100.85697,43.0
