n,o,l
oise,63.712456,69.0
loire_atlantique,1.4816053,0.0
calvados,4.8505197,4.0
hauts_de_seine,134.18382,102.0
tarn_et_garonne,0.44623148,21.0
val_de_marne,82.55296,95.0
alpes_de_haute_provence,1.4756765,0.0
vosges,27.242744,17.0
haute_saone,4.5782466,8.0
vaucluse,9.173478,8.0
charente_maritime,2.807224,1.0
ardeche,0.465491,4.0
savoie,0.0,4.0
loir_et_cher,0.20335855,1.0
haute_marne,0.39097133,1.0
alpes_maritimes,15.70625,4.0
drome,3.2535431,0.0
meuse,1.072632,6.0
aude,8.126695,12.0
herault,56.58962,20.0
manche,2.0583265,4.0
yvelines,49.19712,50.0
seine_et_marne,67.805534,84.0
ain,3.6761234,11.0
indre_et_loire,3.1088183,5.0
correze,0.26425034,3.0
bouches_du_rhone,147.05013,166.0
loiret,21.412716,21.0
moselle,33.240814,90.0
nord,9.095559,32.0
vienne,0.32675016,0.0
eure_et_loir,25.458797,33.0
puy_de_dome,8.415456,10.0
rhone,17.858921,32.0
ardennes,0.8750069,3.0
charente,0.00823899,4.0
aisne,21.760624,21.0
var,9.530585,12.0
lot_et_garonne,0.21387817,1.0
loire,0.33140773,0.0
pyrenees_orientales,0.25987345,2.0
nievre,4.379191,8.0
aube,14.929097,28.0
maine_et_loire,0.14085528,0.0
haute_savoie,23.924686,14.0
saone_et_loire,7.994265,14.0
doubs,5.9952826,13.0
pyrenees_atlantiques,5.5972323,3.0
pas_de_calais,12.776068,20.0
indre,13.334922,15.0
cote_d'or,4.3840294,2.0
seine_maritime,15.550031,13.0
marne,16.72583,16.0
yonne,0.046120923,1.0
haute_vienne,0.3067404,2.0
seine_saint_denis,118.57499,73.0
bas_rhin,24.900532,19.0
lot,0.32781148,1.0
landes,69.37086,67.0
haut_rhin,0.17263038,4.0
orne,0.8302507,1.0
isere,3.7109005,9.0
territoire_de_belfort,1.1075258,4.0
haute_garonne,10.970847,6.0
dordogne,0.2441787,0.0
paris,159.88545,125.0
gard,14.280653,6.0
mayenne,0.18349563,1.0
val_d'oise,69.049416,45.0
gironde,20.827372,12.0
cher,11.031732,31.0
eure,10.258973,27.0
jura,1.4650735,1.0
tarn,0.12791221,2.0
haute_loire,0.6324373,0.0
somme,15.441226,20.0
gers,2.784263,5.0
cantal,0.2974854,0.0
meurthe_et_moselle,7.44269,9.0
hautes_pyrenees,3.5245757,8.0
essonne,63.44486,101.0
