n,o,l
E08000016,13.366909,16.0
E09000001,0.0,2.0
E06000051,9.005155,18.0
E06000039,9.288082,9.0
E09000005,46.963867,43.0
E09000020,11.649347,20.0
E08000001,27.448826,45.0
E06000004,12.641762,9.0
E08000012,62.96787,74.0
E09000010,27.843729,31.0
E09000002,15.084998,18.0
E08000022,27.518335,18.0
E08000031,17.043734,32.0
E10000013,43.51662,58.0
E08000032,31.262909,36.0
E08000035,48.061073,43.0
E08000003,56.949314,53.0
E06000035,29.43054,21.0
E06000042,17.174742,11.0
E06000008,9.936098,12.0
E06000059,9.169274,17.0
E06000015,11.681232,11.0
E06000011,14.655643,21.0
E08000024,57.457684,51.0
E06000003,9.446877,0.0
E06000024,1.9048082,5.0
E06000049,29.397652,33.0
E08000037,37.120373,44.0
E10000015,92.48441,85.0
E06000016,25.510931,20.0
E10000016,125.953896,102.0
E08000017,3.7651815,15.0
E06000018,18.404753,16.0
E08000002,20.567896,24.0
E06000050,34.08838,28.0
E06000045,11.795834,13.0
E10000027,11.024662,15.0
E09000017,25.304914,18.0
E06000001,3.3231795,6.0
E10000031,39.682217,32.0
E10000006,87.68963,87.0
E10000030,99.58069,80.0
E08000019,64.52102,50.0
E06000055,12.130359,20.0
E10000020,45.43125,57.0
E10000003,22.3803,27.0
E06000044,7.4238315,11.0
E09000004,27.723299,16.0
E10000019,32.000748,15.0
E06000020,3.7832856,6.0
E09000029,22.113354,29.0
E06000012,0.0,4.0
E09000015,28.030222,25.0
E06000030,9.56871,15.0
E10000018,30.092203,18.0
E10000012,105.00872,91.0
E09000008,52.123863,56.0
E06000054,11.959869,10.0
E08000015,49.129745,49.0
E08000008,17.212975,27.0
E06000006,15.67825,14.0
E06000052,16.311983,16.0
E09000023,42.045387,23.0
E08000009,23.086576,31.0
E10000025,65.017265,58.0
E06000007,26.637192,38.0
E08000036,23.009558,25.0
E09000021,8.203335,18.0
E09000009,13.355642,21.0
E08000004,33.069847,36.0
E08000005,29.029623,31.0
E08000027,17.939428,36.0
E09000016,21.435856,16.0
E08000014,28.313116,31.0
E10000024,38.787292,33.0
E06000022,35.498234,33.0
E08000023,2.4496698,8.0
E09000018,17.665419,19.0
E06000037,23.030582,23.0
E08000007,7.566308,5.0
E08000010,36.284817,30.0
E06000040,25.23332,27.0
E10000011,2.6694493,3.0
E06000036,20.073141,18.0
E10000014,4.2010903,10.0
E06000046,108.383545,86.0
E10000034,0.0,5.0
E08000021,37.147285,41.0
E08000034,38.28313,30.0
E06000027,23.466988,21.0
E06000032,0.0,3.0
E06000026,26.342056,35.0
E10000028,5.2510047,4.0
E10000032,52.440834,49.0
E06000033,15.795534,5.0
E06000013,47.36499,39.0
E09000022,1.2749693,10.0
E08000026,40.856796,32.0
E09000027,21.910528,10.0
E08000013,9.935914,9.0
E06000041,29.162397,15.0
E06000047,6.617373,12.0
E06000017,62.991737,54.0
E10000021,0.0,1.0
E08000025,47.312202,33.0
E10000008,94.16011,88.0
E08000018,22.8869,12.0
E06000005,14.075712,21.0
E10000017,8.686953,20.0
E06000009,121.83779,99.0
E08000030,6.8347297,13.0
E06000057,32.988678,19.0
E06000038,30.302996,35.0
E10000007,8.286824,13.0
E10000023,32.954914,43.0
E06000031,31.351957,29.0
E08000033,4.1777034,5.0
E06000043,5.6244497,10.0
E09000003,12.112609,19.0
E06000014,45.442284,49.0
E10000029,6.4535656,10.0
E10000002,30.679573,38.0
E09000006,27.112879,32.0
E08000011,22.4255,19.0
E06000021,6.6673083,18.0
E09000026,30.483358,29.0
E06000056,17.26317,16.0
E06000002,21.850193,5.0
E06000034,38.285866,43.0
