n,o,l
oise,5.56588,6.0
meurthe_et_moselle,0.17673841,0.0
alpes_maritimes,0.071566075,0.0
marne,0.095554456,0.0
loire,0.3655253,0.0
ain,1.3769951,4.0
pyrenees_atlantiques,0.18276104,17.0
var,0.59923273,2.0
aude,0.2004698,1.0
ardennes,0.14428519,0.0
loir_et_cher,0.10005972,4.0
somme,3.6779962,7.0
hautes_pyrenees,0.18069434,0.0
haute_garonne,0.7702039,11.0
bouches_du_rhone,1.022411,0.0
bas_rhin,11.403977,14.0
cantal,0.08224864,1.0
landes,0.101965696,0.0
rhone,2.8995981,0.0
calvados,0.061504025,0.0
cote_d'or,0.29386494,0.0
eure_et_loir,1.0006856,17.0
meuse,0.06932962,1.0
indre_et_loire,0.40558186,0.0
aube,0.6519369,2.0
indre,3.967703,3.0
val_de_marne,8.075426,11.0
haute_marne,0.10140133,0.0
herault,4.661657,9.0
gard,2.1016705,5.0
paris,10.459364,4.0
haute_vienne,0.14825879,0.0
ardeche,0.13736589,0.0
vaucluse,0.17910635,2.0
drome,0.294226,0.0
pas_de_calais,8.710446,1.0
loiret,0.19430412,0.0
yvelines,5.22516,6.0
jura,0.2319139,0.0
tarn_et_garonne,0.14371955,1.0
manche,0.15695004,0.0
territoire_de_belfort,0.087246165,2.0
eure,3.3706686,4.0
val_d'oise,2.8389342,6.0
pyrenees_orientales,0.18094847,0.0
hauts_de_seine,5.16722,13.0
moselle,1.4642501,0.0
isere,0.17830394,0.0
essonne,13.080473,10.0
nievre,0.16362713,3.0
vosges,0.08240189,0.0
lot,0.07238649,0.0
haute_saone,2.1834745,1.0
seine_maritime,0.99110883,6.0
dordogne,0.08815476,0.0
alpes_de_haute_provence,0.15944515,2.0
puy_de_dome,0.2184946,0.0
haut_rhin,2.4930134,2.0
charente_maritime,0.6017696,5.0
vienne,0.1304979,0.0
nord,4.9190702,5.0
saone_et_loire,0.3778598,0.0
haute_loire,0.16083005,0.0
charente,0.07005346,0.0
loire_atlantique,0.055204663,0.0
aisne,0.06728196,0.0
tarn,2.0862374,0.0
gironde,0.14463763,0.0
cher,0.07432786,0.0
mayenne,0.45193905,1.0
doubs,0.18264773,0.0
seine_et_marne,0.20740794,1.0
correze,9.380004,7.0
gers,0.101670295,0.0
orne,1.1328931,1.0
maine_et_loire,0.5066632,0.0
seine_saint_denis,5.3213468,4.0
yonne,0.14604756,6.0
lot_et_garonne,0.059826825,1.0
haute_savoie,4.2828493,0.0
savoie,0.06728916,0.0
